EM	OR	IM	IB
-0.218681	0.218983	0.111126	-0.111096
-0.285375	0.285685	0.151863	-0.151873
-0.276661	0.277383	0.148004	-0.148216
-0.340884	0.341272	0.17755	-0.177548
-0.248409	0.249694	0.131411	-0.131802
-0.303708	0.304116	0.16458	-0.16463
-0.260861	0.261395	0.133213	-0.133299
-0.257386	0.257716	0.133657	-0.133655
-0.338948	0.339373	0.179925	-0.179914
-0.290772	0.291076	0.159058	-0.159083
-0.282279	0.282654	0.150072	-0.150126
-0.282725	0.283139	0.147319	-0.147346
-0.307818	0.308246	0.159508	-0.15954
-0.28847	0.28889	0.152456	-0.152507
-0.330163	0.330619	0.17587	-0.175915
-0.255742	0.256066	0.136481	-0.136503
-0.297348	0.297746	0.152862	-0.152854
-0.293214	0.293733	0.147178	-0.147193
-0.27699	0.277359	0.142268	-0.142255
-0.346535	0.347061	0.180113	-0.180181
-0.293682	0.294032	0.152713	-0.152717
-0.244717	0.245006	0.121196	-0.121175
-0.280039	0.281459	0.143382	-0.143741
-0.28102	0.281308	0.151266	-0.151261
-0.267665	0.26786	0.136652	-0.136564
-0.279738	0.280199	0.146556	-0.146574
-0.236768	0.238909	0.11384	-0.114335
-0.245435	0.245612	0.124689	-0.124607
-0.281712	0.281957	0.143887	-0.143782
-0.292626	0.292949	0.151835	-0.15184
-0.269315	0.269689	0.140499	-0.140509
-0.349542	0.349987	0.187204	-0.187214
-0.233487	0.233815	0.117887	-0.117888
-0.347619	0.347976	0.18922	-0.189224
-0.282604	0.283056	0.148972	-0.149041
-0.277004	0.277421	0.147184	-0.147224
-0.276714	0.277174	0.145858	-0.145919
-0.270352	0.270681	0.139929	-0.139918
-0.266889	0.26706	0.13693	-0.136847
-0.301198	0.30169	0.160065	-0.16013
-0.304266	0.304514	0.153378	-0.15326
-0.297055	0.297335	0.155621	-0.155581
-0.335757	0.336171	0.175432	-0.175435
-0.336991	0.337464	0.179948	-0.179993
-0.304745	0.305433	0.159552	-0.159744
-0.276265	0.276646	0.144397	-0.144414
-0.306592	0.307805	0.163266	-0.163558
-0.275622	0.275946	0.147954	-0.14796
-0.283947	0.284376	0.14727	-0.147301
-0.276616	0.277967	0.146059	-0.14639
-0.316913	0.317275	0.165812	-0.165771
-0.253714	0.253999	0.129207	-0.129168
-0.279847	0.280153	0.148998	-0.148919
-0.299233	0.299633	0.150331	-0.150298
-0.285835	0.286124	0.149796	-0.149763
-0.246283	0.246467	0.124386	-0.124293
-0.210588	0.21078	0.107483	-0.107445
-0.349425	0.349996	0.187598	-0.187721
-0.256236	0.257024	0.13559	-0.135865
-0.242672	0.244083	0.128342	-0.128776
-0.266833	0.267237	0.13592	-0.13594
-0.343251	0.34384	0.179907	-0.180015
-0.21552	0.215851	0.102828	-0.102799
-0.281799	0.282147	0.152495	-0.15253
-0.269195	0.269464	0.142116	-0.142096
-0.284157	0.285125	0.143967	-0.14428
-0.275565	0.27609	0.150706	-0.150841
-0.33683	0.337339	0.176954	-0.177018
-0.283389	0.283816	0.145381	-0.145406
-0.296339	0.296997	0.148374	-0.148472
-0.326941	0.327405	0.166278	-0.166265
-0.225465	0.225863	0.10882	-0.108847
-0.280016	0.281076	0.145384	-0.145582
-0.297583	0.297885	0.159405	-0.159409
-0.308711	0.309199	0.1518	-0.151782
-0.28207	0.282384	0.147771	-0.147742
-0.296688	0.297169	0.156381	-0.156423
-0.171872	0.17294	0.0843128	-0.0845886
-0.290568	0.290857	0.159366	-0.159349
-0.304285	0.304825	0.162663	-0.162777
-0.233609	0.234389	0.116832	-0.117063
-0.266138	0.26651	0.141826	-0.141853
-0.277953	0.278407	0.145315	-0.145356
-0.229879	0.230086	0.112468	-0.112367
-0.182298	0.182592	0.0863998	-0.0864174
-0.372835	0.374112	0.197704	-0.198056
-0.264929	0.266215	0.135398	-0.135768
-0.302454	0.302756	0.159985	-0.159978
-0.274104	0.274794	0.146397	-0.146616
-0.284812	0.28517	0.148919	-0.148932
-0.271398	0.271841	0.143536	-0.143592
-0.285833	0.286394	0.150876	-0.150961
-0.205039	0.205222	0.0964712	-0.096362
-0.252414	0.252706	0.134654	-0.134658
-0.302188	0.302502	0.160856	-0.160839
-0.272482	0.272811	0.148345	-0.148365
-0.330531	0.331933	0.164969	-0.165323
-0.300608	0.301214	0.159884	-0.159987
-0.226698	0.227148	0.122366	-0.122479
-0.183613	0.18383	0.0948844	-0.0948935
