EM	OR	IM	IB
0.0298188	-0.0295833	-0.172859	0.173121
0.0976399	-0.0975887	-0.295304	0.295977
0.0766881	-0.0764288	-0.242264	0.242524
0.0979623	-0.0973841	-0.290307	0.290604
0.0464111	-0.0462018	-0.198039	0.198243
0.0835692	-0.0837255	-0.271278	0.272438
0.0321612	-0.0315757	-0.227417	0.227745
0.0744497	-0.0741763	-0.248048	0.248367
0.0157425	-0.0153195	-0.167639	0.167839
0.0168544	-0.017035	-0.163119	0.164576
0.0922355	-0.0919886	-0.277121	0.277431
0.0926994	-0.0924775	-0.26246	0.262793
0.13118	-0.131111	-0.336506	0.337289
0.0781254	-0.0782281	-0.272878	0.274425
0.00455416	-0.00425126	-0.178914	0.179202
0.0689	-0.0686453	-0.245516	0.24583
0.0245391	-0.0243532	-0.195644	0.196133
0.0464299	-0.0462493	-0.23357	0.234098
0.0639505	-0.0636004	-0.251413	0.251659
0.0729069	-0.072454	-0.280926	0.281187
0.149993	-0.150252	-0.357704	0.359304
0.0679871	-0.0677494	-0.249269	0.249561
0.040534	-0.0402137	-0.217202	0.217559
0.0432925	-0.0425968	-0.213391	0.213661
0.113789	-0.113516	-0.299093	0.29959
0.0684109	-0.0683135	-0.238778	0.239247
0.0492986	-0.0494314	-0.229493	0.230902
0.0129638	-0.0129857	-0.16379	0.164525
0.0931751	-0.092905	-0.284311	0.284641
0.106583	-0.106595	-0.279761	0.280447
0.0508497	-0.0507464	-0.204772	0.205257
0.0680523	-0.0680427	-0.271193	0.272203
0.0936512	-0.093477	-0.268091	0.268578
0.0106182	-0.0104242	-0.204629	0.205479
0.0774052	-0.0776162	-0.26369	0.264855
0.0739465	-0.0741632	-0.252853	0.254197
0.147304	-0.147354	-0.339985	0.340819
0.0457312	-0.0455979	-0.195509	0.195969
0.0888918	-0.088739	-0.298067	0.298647
-0.0208223	0.0209325	-0.139661	0.140531
0.0801536	-0.0797797	-0.309168	0.309551
0.115059	-0.115211	-0.311013	0.312143
-0.0199089	0.0199952	-0.149044	0.149782
0.085199	-0.0850785	-0.280152	0.28071
-0.00872731	0.00879181	-0.199971	0.201391
0.0499804	-0.0501626	-0.228429	0.229823
0.0257176	-0.0258088	-0.216465	0.217987
0.092348	-0.0920979	-0.269467	0.269864
0.0684065	-0.0682593	-0.256925	0.257499
0.0496263	-0.0498328	-0.215071	0.216527
0.0331869	-0.0326873	-0.218208	0.218835
0.0923156	-0.0923788	-0.26139	0.262258
0.0220608	-0.0217483	-0.196893	0.197193
0.123287	-0.123195	-0.318871	0.319448
0.0304419	-0.0298622	-0.204219	0.204498
0.0699023	-0.0699125	-0.227294	0.228299
0.0611879	-0.0609151	-0.251137	0.2515
0.0731865	-0.0724464	-0.255931	0.256108
0.075716	-0.0759277	-0.238195	0.239562
0.120297	-0.119694	-0.307691	0.307972
0.065663	-0.0654549	-0.217186	0.217523
0.0817868	-0.0817378	-0.270072	0.270808
0.0603723	-0.0601936	-0.241857	0.242333
0.0474376	-0.0474937	-0.201799	0.202618
0.0597161	-0.0595272	-0.211072	0.211304
0.065894	-0.065337	-0.24075	0.240954
0.00721192	-0.00692383	-0.176837	0.177115
0.0506448	-0.0506916	-0.234162	0.235495
0.0658311	-0.0660465	-0.265708	0.267878
0.113069	-0.11276	-0.322485	0.322875
0.0654739	-0.0651411	-0.264733	0.265125
0.00672938	-0.00595688	-0.169316	0.169516
0.0967665	-0.0965087	-0.297576	0.297938
0.0501693	-0.0501213	-0.217225	0.217921
0.0944553	-0.0941688	-0.314928	0.315364
0.0485686	-0.0484687	-0.214353	0.214888
0.0411526	-0.0410617	-0.22002	0.220574
0.0958072	-0.0955981	-0.252335	0.25264
0.0509641	-0.0508428	-0.226007	0.226534
0.0462042	-0.0459598	-0.206803	0.20712
0.067998	-0.0677209	-0.276415	0.277018
0.0937529	-0.0936183	-0.272493	0.273052
0.102805	-0.102532	-0.292685	0.292971
0.0883959	-0.0881256	-0.258266	0.258657
0.0568167	-0.0565707	-0.23247	0.232738
0.0587271	-0.0585723	-0.261474	0.2622
0.067355	-0.0674812	-0.266045	0.267308
0.0564553	-0.0559494	-0.231728	0.231905
0.0449323	-0.0446863	-0.217804	0.218174
0.0418483	-0.0417443	-0.198649	0.199084
0.0418693	-0.0415824	-0.19579	0.196078
0.0184836	-0.0184816	-0.214414	0.215215
0.0923655	-0.0925939	-0.299413	0.300966
0.00922193	-0.00898634	-0.13849	0.138779
0.0690994	-0.0688992	-0.261036	0.261659
0.00316045	-0.00299809	-0.157702	0.158098
0.0415313	-0.0412088	-0.240987	0.241396
0.0617551	-0.0614387	-0.259034	0.25944
0.0502856	-0.0499001	-0.187755	0.188129
0.0250076	-0.0248349	-0.149322	0.149546
