EM	OR	IM	IB
-0.00547507	0.00559307	-0.00261221	0.00266216
-0.0353583	0.0354815	0.0152809	-0.0152304
-0.0200884	0.0202063	0.00670363	-0.00668074
-0.0623803	0.0625155	0.0310883	-0.0310402
-0.0368687	0.0373175	0.0160928	-0.0162598
-0.0374776	0.0376007	0.0164857	-0.016434
-0.0328688	0.0329886	0.0140839	-0.0140349
-0.00851864	0.00863108	-0.000367034	0.000413453
-0.0496344	0.0497957	0.0232477	-0.0231858
-0.0380803	0.0381716	0.0167273	-0.0166999
-0.0322949	0.0324015	0.0136951	-0.0136504
-0.0375396	0.0376591	0.0165564	-0.0165077
-0.0381548	0.0382704	0.0173306	-0.0172828
-0.0377682	0.037862	0.0166944	-0.0166555
-0.0482794	0.0484197	0.0229032	-0.0228478
-0.00373319	0.00383093	-0.0031615	0.00320338
-0.0464084	0.046546	0.021911	-0.0218525
-0.0445978	0.0448196	0.0203137	-0.0202671
-0.0358038	0.0359235	0.0154486	-0.0154027
-0.0457615	0.0459033	0.021199	-0.0211437
-0.0455919	0.0457216	0.0212609	-0.0212116
-0.0479727	0.0480745	0.0226619	-0.0226162
-0.0448653	0.0454222	0.0208197	-0.0209883
-0.023709	0.0238089	0.00885281	-0.0088098
-0.0316089	0.0317207	0.0132398	-0.0131939
-0.0289672	0.0291961	0.0118868	-0.0118696
-0.0272705	0.0283191	0.0100299	-0.0103835
-0.022327	0.0224466	0.00767069	-0.00762561
-0.0465443	0.046708	0.0215546	-0.021488
-0.0439664	0.0440853	0.0205325	-0.0204842
-0.0185704	0.018682	0.00561555	-0.00556873
-0.0469597	0.0471091	0.0222433	-0.022185
-0.0104174	0.0105139	0.000908008	-0.000866052
-0.0447712	0.0448997	0.020879	-0.020827
-0.0388243	0.0389627	0.0172729	-0.0172185
-0.0361944	0.0363155	0.0157535	-0.0157008
-0.0256475	0.0257581	0.00959536	-0.0095533
-0.0394068	0.0395577	0.0172712	-0.0172124
-0.0402212	0.0403053	0.0181878	-0.0181491
-0.0379209	0.0380659	0.0165781	-0.0165216
-0.0572655	0.0574094	0.0284316	-0.0283736
-0.0429924	0.0431364	0.0196085	-0.0195507
-0.043728	0.0438776	0.0200395	-0.0199799
-0.0537014	0.053884	0.0259458	-0.025889
-0.042355	0.0424993	0.0194798	-0.0194364
-0.0125764	0.0126834	0.00203435	-0.00198956
-0.0380903	0.038574	0.016957	-0.0170462
-0.0139748	0.014077	0.00299858	-0.00295508
-0.0355213	0.0356497	0.0155406	-0.015489
-0.02508	0.0256519	0.00880871	-0.00896207
-0.051765	0.0519052	0.0251283	-0.0250705
-0.0439749	0.0440899	0.0201785	-0.0201277
-0.0222244	0.0224066	0.00750418	-0.00747049
-0.04764	0.0477982	0.0225215	-0.022461
-0.0511624	0.0512743	0.0245125	-0.0244694
-0.0315479	0.0316762	0.0130728	-0.013021
-0.019867	0.0199584	0.00629985	-0.00626004
-0.0643843	0.0645035	0.0320654	-0.032017
-0.0196454	0.019782	0.00627337	-0.00629359
-0.0126849	0.0132059	0.00149382	-0.00170031
-0.0302655	0.0303865	0.0119938	-0.0119437
-0.0445572	0.0446937	0.0208993	-0.0208452
-0.0323146	0.0324337	0.0133797	-0.013337
-0.0278902	0.0279947	0.011267	-0.0112226
-0.0273956	0.0275076	0.0108668	-0.0108205
-0.0593311	0.0595805	0.0287255	-0.0287987
-0.0240695	0.0241706	0.0089573	-0.00891259
-0.0649857	0.0651044	0.0326236	-0.0325775
-0.0582021	0.0583152	0.0282781	-0.0282441
-0.0460963	0.0462589	0.0213594	-0.021295
-0.0665603	0.0667234	0.0334753	-0.0334074
-0.0332556	0.0333849	0.0138634	-0.0138117
-0.0386479	0.0391073	0.0169424	-0.0170212
-0.0372636	0.0373741	0.0165679	-0.0165174
-0.0579611	0.0581432	0.0283692	-0.0283004
-0.0424943	0.0426257	0.0191624	-0.0191065
-0.04618	0.0463986	0.0215638	-0.0215189
-0.0104247	0.0108947	0.00085665	-0.000983655
-0.0274507	0.0275643	0.0108323	-0.0107842
-0.0200022	0.0201341	0.00627225	-0.00621984
-0.029171	0.0293179	0.0113495	-0.0113444
-0.0125929	0.0127015	0.00188873	-0.00184258
-0.0365467	0.0366875	0.0160151	-0.0159587
-0.034114	0.0342408	0.0145196	-0.0144666
-0.0255646	0.0256521	0.00927578	-0.00923935
-0.0582623	0.0587002	0.0280175	-0.0281377
-0.0177492	0.0181797	0.00505171	-0.00521231
-0.0387264	0.038845	0.0174233	-0.0173744
-0.0288996	0.0290159	0.0118502	-0.0118252
-0.0271916	0.0273168	0.0106912	-0.0106409
-0.0136332	0.0137454	0.00231963	-0.002273
-0.0168977	0.0170503	0.00411564	-0.00405686
-0.0213912	0.0215035	0.00737192	-0.00732503
-0.014028	0.0141244	0.00315294	-0.00311125
-0.0261083	0.0262384	0.0099182	-0.00986646
-0.0226893	0.0227955	0.00786025	-0.00781729
-0.0649205	0.0654654	0.0324002	-0.0325482
-0.0348562	0.0350023	0.0146881	-0.0146283
0.000601088	-0.000513882	-0.0061529	0.00618515
0.0206858	-0.0205894	-0.017859	0.0179
