EM	OR	IM	IB
-0.164604	0.164806	0.205593	-0.205572
-0.202091	0.202306	0.257368	-0.257374
-0.197734	0.198194	0.261125	-0.261466
-0.260548	0.260824	0.327161	-0.32716
-0.192415	0.193318	0.252129	-0.252672
-0.206914	0.207186	0.265218	-0.265298
-0.212661	0.213009	0.278086	-0.278255
-0.193819	0.194042	0.250838	-0.25086
-0.247333	0.247631	0.309893	-0.309876
-0.197567	0.197763	0.255633	-0.255659
-0.206801	0.207053	0.268965	-0.269056
-0.217202	0.21746	0.275139	-0.275211
-0.236479	0.236761	0.306861	-0.306941
-0.215644	0.215918	0.282728	-0.282831
-0.241115	0.241426	0.307219	-0.307295
-0.178791	0.179007	0.237156	-0.2372
-0.238543	0.238818	0.305864	-0.305871
-0.228979	0.229368	0.283494	-0.283591
-0.214418	0.214656	0.273498	-0.273504
-0.257181	0.257533	0.311681	-0.311813
-0.230568	0.230811	0.293013	-0.293028
-0.215959	0.216163	0.27957	-0.279573
-0.231415	0.232429	0.299492	-0.300012
-0.195964	0.196155	0.261753	-0.261747
-0.210567	0.210777	0.271439	-0.27145
-0.207913	0.208253	0.270509	-0.270558
-0.219727	0.221398	0.276738	-0.277451
-0.206052	0.206269	0.26686	-0.266845
-0.233311	0.233579	0.297314	-0.297261
-0.23021	0.230439	0.292866	-0.292883
-0.209502	0.209756	0.272879	-0.272906
-0.248341	0.248633	0.315324	-0.315357
-0.193173	0.19339	0.253382	-0.253414
-0.237052	0.237292	0.304166	-0.304166
-0.204865	0.205177	0.258148	-0.258264
-0.203081	0.203358	0.262148	-0.262218
-0.200877	0.201171	0.261537	-0.261645
-0.203494	0.203744	0.255524	-0.255519
-0.213597	0.213781	0.275785	-0.275792
-0.219615	0.219951	0.282726	-0.282838
-0.260856	0.261121	0.332151	-0.332145
-0.217607	0.217818	0.275484	-0.275436
-0.245637	0.245927	0.30319	-0.3032
-0.238502	0.238847	0.299158	-0.299225
-0.230086	0.230555	0.292718	-0.293019
-0.205123	0.205367	0.261999	-0.26204
-0.227533	0.228401	0.291273	-0.29169
-0.19247	0.192683	0.256062	-0.256084
-0.222807	0.223094	0.284154	-0.284227
-0.201572	0.202538	0.258357	-0.258827
-0.249218	0.249458	0.316209	-0.316163
-0.208804	0.208996	0.267308	-0.267257
-0.1979	0.198205	0.253629	-0.253676
-0.24791	0.248191	0.314603	-0.314596
-0.224197	0.224388	0.289408	-0.289369
-0.203828	0.204048	0.263887	-0.263877
-0.163916	0.164052	0.212665	-0.212635
-0.249726	0.250104	0.316818	-0.317016
-0.185171	0.18568	0.240511	-0.240937
-0.170874	0.171899	0.220937	-0.221555
-0.208141	0.208409	0.259628	-0.259693
-0.256279	0.256673	0.321189	-0.321375
-0.191776	0.192003	0.246658	-0.246672
-0.193145	0.193377	0.260995	-0.26106
-0.196869	0.197055	0.259697	-0.259678
-0.229599	0.23028	0.287408	-0.287875
-0.184044	0.18438	0.24573	-0.245945
-0.251639	0.251966	0.312498	-0.312615
-0.228582	0.228875	0.292131	-0.292221
-0.243236	0.243671	0.30295	-0.303151
-0.268699	0.26902	0.340811	-0.34082
-0.204898	0.205168	0.258317	-0.258399
-0.221021	0.221772	0.27987	-0.280165
-0.20792	0.208126	0.270299	-0.2703
-0.270506	0.270864	0.336871	-0.336879
-0.206167	0.206387	0.263847	-0.263824
-0.216019	0.216376	0.276718	-0.27679
-0.154139	0.154911	0.213782	-0.21419
-0.194632	0.194824	0.259094	-0.259057
-0.216314	0.216688	0.277028	-0.277198
-0.200235	0.200755	0.257075	-0.257445
-0.185988	0.186237	0.241535	-0.241591
-0.208637	0.208941	0.271763	-0.271857
-0.206791	0.206999	0.264575	-0.264526
-0.180405	0.18061	0.235312	-0.235358
-0.265937	0.266844	0.322904	-0.323397
-0.206354	0.207256	0.268739	-0.269297
-0.21778	0.217997	0.283327	-0.283327
-0.193991	0.194437	0.25498	-0.255327
-0.213051	0.2133	0.275264	-0.275298
-0.19152	0.191807	0.243627	-0.243743
-0.203461	0.203842	0.255584	-0.255729
-0.202016	0.202267	0.267809	-0.267835
-0.188125	0.18832	0.252477	-0.252488
-0.216898	0.217123	0.27796	-0.277932
-0.183548	0.183766	0.240953	-0.240979
-0.270633	0.271659	0.338371	-0.338885
-0.218775	0.219169	0.27688	-0.277046
-0.153224	0.153514	0.197505	-0.197685
-0.134246	0.134412	0.17062	-0.17063
