EM	OR	IM	IB
0.125077	-0.125061	-0.243243	0.243486
0.123647	-0.123624	-0.249585	0.249886
0.114704	-0.114904	-0.232252	0.232951
0.145673	-0.145651	-0.298952	0.299314
0.030964	-0.0313285	-0.111459	0.112653
0.0709565	-0.0708288	-0.178932	0.179078
0.100624	-0.100719	-0.210652	0.211142
0.126223	-0.126139	-0.247414	0.247581
0.132404	-0.132359	-0.276132	0.276513
0.0818802	-0.0817822	-0.185148	0.18533
0.121066	-0.121103	-0.243607	0.243976
0.142793	-0.142801	-0.279193	0.279601
0.128724	-0.128734	-0.263415	0.263855
0.118349	-0.118393	-0.239412	0.239818
0.129891	-0.129906	-0.270338	0.270775
0.104357	-0.104281	-0.211914	0.21205
0.157251	-0.157258	-0.303903	0.304283
0.109428	-0.109428	-0.244003	0.244516
0.124802	-0.124699	-0.253794	0.25397
0.145368	-0.145384	-0.305652	0.306206
0.106264	-0.10622	-0.232914	0.23328
0.097451	-0.0974146	-0.212221	0.212571
0.12867	-0.128039	-0.260361	0.26043
0.105987	-0.105905	-0.212539	0.212705
0.105066	-0.105051	-0.221622	0.2219
0.0642507	-0.0642349	-0.164144	0.164586
0.127161	-0.126161	-0.263269	0.263398
0.0814928	-0.0814418	-0.192958	0.193236
0.140179	-0.140152	-0.277043	0.277386
0.136089	-0.136054	-0.275983	0.276337
0.111159	-0.111047	-0.23463	0.234819
0.120218	-0.120196	-0.258748	0.259168
0.0970876	-0.0970676	-0.209613	0.209928
0.0837627	-0.0837201	-0.204478	0.204799
0.140974	-0.141025	-0.274964	0.275417
0.11257	-0.112502	-0.228875	0.229015
0.119569	-0.11963	-0.236954	0.23736
0.0971251	-0.0970216	-0.208551	0.208717
0.0931919	-0.0931364	-0.209465	0.209757
0.0903528	-0.0904029	-0.204007	0.204469
0.120822	-0.12079	-0.261046	0.261417
0.156514	-0.15647	-0.295611	0.295921
0.0928712	-0.0928348	-0.221203	0.221617
0.109321	-0.109333	-0.236638	0.23712
0.127265	-0.127126	-0.265384	0.265585
0.126984	-0.126979	-0.254975	0.255355
0.135138	-0.135251	-0.270635	0.271581
0.1027	-0.102695	-0.210548	0.210836
0.125755	-0.125759	-0.26145	0.261872
0.101045	-0.101336	-0.212306	0.213619
0.154785	-0.15474	-0.306153	0.306484
0.0922628	-0.0922196	-0.201571	0.20181
0.121442	-0.121449	-0.240329	0.240765
0.143878	-0.14384	-0.28734	0.28774
0.118183	-0.118148	-0.2436	0.243842
0.105577	-0.105532	-0.223762	0.22409
0.0611183	-0.0610411	-0.139657	0.13981
0.0695468	-0.0696075	-0.184262	0.184848
0.102182	-0.102447	-0.215144	0.21591
0.0975181	-0.0979222	-0.197725	0.19912
0.117404	-0.117291	-0.242988	0.243204
0.0989961	-0.0988553	-0.23254	0.232768
0.0864257	-0.0864125	-0.18451	0.18482
0.0844288	-0.0844456	-0.17964	0.179975
0.157854	-0.157843	-0.289488	0.289764
0.0893513	-0.0890835	-0.208452	0.208548
0.0404902	-0.0405958	-0.117593	0.118068
0.0817304	-0.081751	-0.209958	0.210424
0.0891237	-0.0891254	-0.20438	0.204819
0.106029	-0.106119	-0.235954	0.236589
0.129828	-0.12982	-0.276331	0.276755
0.103106	-0.10312	-0.21921	0.219591
0.116227	-0.116431	-0.238616	0.239657
0.111098	-0.110999	-0.227671	0.227851
0.143449	-0.143435	-0.301868	0.302355
0.0734074	-0.0733208	-0.175089	0.175276
0.0767669	-0.0765654	-0.182341	0.182527
0.0932392	-0.0934637	-0.182808	0.183786
0.0631905	-0.0631443	-0.155705	0.155921
0.0978319	-0.0977207	-0.213912	0.214111
0.134518	-0.134743	-0.260408	0.261201
0.107029	-0.107052	-0.215672	0.216036
0.0743029	-0.0741702	-0.179932	0.180106
0.140188	-0.14015	-0.273793	0.274066
0.116667	-0.116655	-0.229737	0.230057
0.146388	-0.146671	-0.308448	0.309769
0.111761	-0.111246	-0.227675	0.227735
0.141634	-0.141604	-0.275408	0.275733
0.115139	-0.115036	-0.228845	0.228986
0.122937	-0.122928	-0.248597	0.248964
0.0631726	-0.063197	-0.161038	0.161426
0.121495	-0.121581	-0.249621	0.250128
0.0955694	-0.0955793	-0.20288	0.203222
0.0608787	-0.0607762	-0.147447	0.14759
0.0911671	-0.0910553	-0.206711	0.206891
0.0464104	-0.0463742	-0.131377	0.131647
0.132085	-0.131492	-0.281397	0.281508
0.101478	-0.101545	-0.225431	0.225963
0.058275	-0.0581801	-0.142292	0.142415
0.0478077	-0.0477831	-0.126082	0.126263
