EM	OR	IM	IB
0.228756	-0.22872	-0.176594	0.176788
0.267422	-0.267435	-0.210314	0.21053
0.242677	-0.243017	-0.18219	0.182642
0.290285	-0.29027	-0.233879	0.234137
0.216944	-0.217476	-0.16886	0.169762
0.244602	-0.244646	-0.192992	0.193272
0.238055	-0.238228	-0.186269	0.186601
0.250543	-0.250562	-0.19203	0.192236
0.284977	-0.284959	-0.228779	0.229056
0.236907	-0.236883	-0.183927	0.184158
0.236468	-0.236554	-0.183591	0.183836
0.297784	-0.297842	-0.233258	0.233529
0.290994	-0.29106	-0.224888	0.225171
0.261749	-0.26184	-0.20095	0.201228
0.284075	-0.28413	-0.223017	0.223332
0.224648	-0.22454	-0.169679	0.16978
0.305188	-0.305215	-0.237849	0.238117
0.307252	-0.307326	-0.245676	0.246087
0.289581	-0.289584	-0.226148	0.226391
0.316639	-0.31672	-0.257082	0.257465
0.251853	-0.251802	-0.199962	0.20022
0.235065	-0.235047	-0.184799	0.185023
0.292601	-0.293106	-0.227326	0.228338
0.24078	-0.240772	-0.183438	0.183629
0.223588	-0.223578	-0.176026	0.176222
0.209366	-0.209368	-0.165107	0.165454
0.272311	-0.273001	-0.215308	0.21699
0.280792	-0.28076	-0.21448	0.214695
0.291316	-0.291282	-0.230242	0.230497
0.302714	-0.302733	-0.236581	0.236805
0.29754	-0.297581	-0.226371	0.226625
0.312774	-0.312783	-0.247151	0.247457
0.215178	-0.21519	-0.163887	0.164098
0.227097	-0.22707	-0.180027	0.180255
0.245951	-0.246046	-0.194116	0.194423
0.239424	-0.239516	-0.188037	0.188289
0.265828	-0.265952	-0.20278	0.203057
0.239185	-0.239169	-0.189811	0.190037
0.239481	-0.239436	-0.187501	0.187714
0.268003	-0.268088	-0.20928	0.209625
0.282251	-0.282233	-0.226971	0.227234
0.270796	-0.270732	-0.214991	0.215209
0.281372	-0.281396	-0.230731	0.231002
0.243052	-0.243083	-0.199076	0.199421
0.287701	-0.287976	-0.227567	0.228048
0.29512	-0.295171	-0.227098	0.227343
0.290248	-0.290648	-0.227214	0.228091
0.199953	-0.199965	-0.152554	0.152746
0.280643	-0.280705	-0.219163	0.219439
0.263653	-0.264117	-0.204819	0.205787
0.284461	-0.284431	-0.225464	0.225681
0.230549	-0.230499	-0.181766	0.181953
0.253245	-0.253287	-0.197787	0.198103
0.306622	-0.306599	-0.243316	0.243603
0.272797	-0.27275	-0.213695	0.213889
0.253637	-0.253624	-0.196429	0.196635
0.21136	-0.211312	-0.163531	0.16368
0.23199	-0.232123	-0.190149	0.190558
0.223686	-0.224086	-0.173597	0.174122
0.205946	-0.206531	-0.161691	0.16273
0.265564	-0.26563	-0.210086	0.210346
0.285173	-0.285008	-0.228799	0.228969
0.238566	-0.238576	-0.186394	0.186615
0.226025	-0.226082	-0.170049	0.170277
0.256285	-0.256263	-0.194862	0.195049
0.22421	-0.224698	-0.187118	0.187778
0.170526	-0.170738	-0.132232	0.13255
0.237283	-0.237363	-0.197649	0.197983
0.263875	-0.263941	-0.210564	0.210876
0.304741	-0.304948	-0.244671	0.245103
0.327613	-0.327633	-0.260338	0.260658
0.242938	-0.243006	-0.195832	0.196103
0.273265	-0.273581	-0.216632	0.217377
0.269446	-0.269432	-0.207467	0.207684
0.327495	-0.327502	-0.263281	0.263641
0.244265	-0.244264	-0.195061	0.195272
0.229341	-0.229384	-0.186139	0.186518
0.18285	-0.183247	-0.133498	0.13427
0.218427	-0.218404	-0.165772	0.165929
0.294459	-0.29431	-0.22699	0.22716
0.271434	-0.271799	-0.210525	0.211054
0.267383	-0.267448	-0.203621	0.203871
0.215362	-0.215214	-0.169326	0.169448
0.272257	-0.272229	-0.211215	0.211409
0.220669	-0.220692	-0.169346	0.169545
0.304023	-0.304498	-0.251287	0.252203
0.241739	-0.242273	-0.188196	0.189102
0.275575	-0.275563	-0.213483	0.213697
0.266011	-0.266365	-0.202757	0.203202
0.294994	-0.295029	-0.227115	0.227367
0.200201	-0.200297	-0.159561	0.159831
0.288705	-0.288869	-0.225992	0.226365
0.257338	-0.257393	-0.196053	0.196289
0.23004	-0.229923	-0.172527	0.172641
0.287125	-0.287086	-0.222511	0.22274
0.186028	-0.186047	-0.143999	0.144194
0.326889	-0.326346	-0.262626	0.262626
0.236891	-0.237062	-0.188769	0.18913
0.209941	-0.210095	-0.16032	0.160625
0.200913	-0.200902	-0.152632	0.152807
