EM	OR	IM	IB
-0.181585	0.181865	0.085084	-0.0850548
-0.188176	0.188456	0.0802666	-0.0802296
-0.195013	0.195702	0.0901726	-0.0903676
-0.200549	0.200902	0.0759923	-0.0759384
-0.204543	0.204554	0.0968024	-0.0962807
-0.234598	0.235012	0.115023	-0.115044
-0.216637	0.217144	0.0979054	-0.097975
-0.232502	0.232829	0.116564	-0.116556
-0.283299	0.28369	0.134284	-0.134232
-0.235203	0.235495	0.11935	-0.119352
-0.226577	0.226965	0.112609	-0.112647
-0.168927	0.169312	0.0633809	-0.0633622
-0.215166	0.215562	0.0929284	-0.0929412
-0.200526	0.200937	0.0883282	-0.0883265
-0.218663	0.219074	0.0946623	-0.0946638
-0.198692	0.198996	0.095643	-0.0956502
-0.226994	0.227195	0.0998031	-0.0996643
-0.260661	0.261163	0.123213	-0.12322
-0.201422	0.201753	0.0878908	-0.0878625
-0.18262	0.182807	0.0599505	-0.0597952
-0.159214	0.159402	0.0534303	-0.0532746
-0.190333	0.190609	0.0797368	-0.0796722
-0.176532	0.177911	0.0658298	-0.0661526
-0.233586	0.233844	0.11389	-0.113868
-0.227361	0.227525	0.10388	-0.103783
-0.236596	0.236833	0.114191	-0.11402
-0.208668	0.210486	0.0912169	-0.0915275
-0.229458	0.22963	0.112926	-0.112838
-0.22588	0.226089	0.101439	-0.10132
-0.157286	0.157603	0.0537653	-0.0537177
-0.172507	0.172847	0.0692468	-0.0692233
-0.262064	0.262467	0.123637	-0.123625
-0.172475	0.172799	0.0749174	-0.0749017
-0.308708	0.308913	0.160031	-0.159926
-0.212799	0.212972	0.0963803	-0.096267
-0.192233	0.192626	0.0857053	-0.0857103
-0.134435	0.13455	0.0426323	-0.0425449
-0.214879	0.215163	0.0963218	-0.0963051
-0.180807	0.180987	0.0768802	-0.0767627
-0.283571	0.284051	0.147237	-0.147299
-0.271207	0.271423	0.127086	-0.126955
-0.173347	0.173516	0.0676777	-0.067576
-0.28532	0.285714	0.137056	-0.137038
-0.242654	0.243071	0.106111	-0.106086
-0.279332	0.28001	0.139432	-0.139594
-0.211104	0.211491	0.0968434	-0.0968265
-0.248481	0.249683	0.119697	-0.119962
-0.242965	0.243282	0.124485	-0.124489
-0.283947	0.284376	0.14727	-0.147301
-0.196347	0.197648	0.0876624	-0.0879704
-0.252185	0.252553	0.118409	-0.118333
-0.222878	0.223144	0.101762	-0.101713
-0.256158	0.256474	0.130921	-0.130824
-0.200507	0.200716	0.0778512	-0.0777065
-0.229556	0.229814	0.10781	-0.107755
-0.194439	0.194603	0.0870132	-0.0869006
-0.154768	0.154925	0.0653846	-0.0653327
-0.258395	0.258583	0.120792	-0.120675
-0.190541	0.191312	0.0874301	-0.0876853
-0.205667	0.20677	0.0998644	-0.100117
-0.178326	0.178717	0.0695366	-0.0695161
-0.216429	0.216991	0.0822863	-0.0823282
-0.137117	0.137364	0.0427451	-0.0427021
-0.219581	0.219916	0.108394	-0.108414
-0.14785	0.148062	0.0532345	-0.0531781
-0.219131	0.220089	0.096271	-0.0965583
-0.244987	0.245508	0.128251	-0.128367
-0.249935	0.250412	0.112105	-0.112129
-0.220821	0.221227	0.0999075	-0.0999096
-0.211352	0.211959	0.086906	-0.0869892
-0.196055	0.196438	0.0690722	-0.0690373
-0.217681	0.218052	0.10206	-0.102085
-0.140055	0.140872	0.0388922	-0.0389731
-0.198224	0.198519	0.0890249	-0.0889903
-0.227455	0.22785	0.0914307	-0.0914028
-0.247758	0.248067	0.122862	-0.122826
-0.244596	0.245068	0.114647	-0.114634
-0.171872	0.17294	0.0843128	-0.0845886
-0.247775	0.248054	0.129339	-0.12931
-0.254868	0.255409	0.124382	-0.124466
-0.13336	0.134085	0.0457211	-0.0459303
-0.190467	0.190788	0.0838982	-0.083903
-0.243776	0.244224	0.120492	-0.120519
-0.179077	0.179281	0.0776637	-0.0775511
-0.141449	0.141571	0.0549208	-0.0548211
-0.245917	0.247152	0.103526	-0.103841
-0.195326	0.196558	0.0847183	-0.0850657
-0.25076	0.251051	0.12245	-0.122422
-0.196372	0.197034	0.0909571	-0.0911589
-0.23143	0.231772	0.108835	-0.108824
-0.24702	0.247453	0.124701	-0.12474
-0.204575	0.205061	0.0929857	-0.093064
-0.174526	0.174682	0.0736045	-0.0734934
-0.214171	0.214443	0.105065	-0.105055
-0.22304	0.223329	0.103113	-0.103071
-0.217981	0.218144	0.109108	-0.109027
-0.255644	0.25703	0.109118	-0.109438
-0.214839	0.215409	0.09555	-0.0956125
-0.185187	0.185608	0.0902859	-0.0903723
-0.183613	0.18383	0.0948844	-0.0948935
