EM	OR	IM	IB
-0.001431	0.00149418	-0.0205711	0.0206712
-0.0204988	0.0205831	0.00856888	-0.00841639
-0.0391705	0.0392154	0.0413151	-0.0411896
-0.0265387	0.0266267	0.00996227	-0.00980382
-0.109166	0.10904	0.138933	-0.138489
-0.0764488	0.0766924	0.0833658	-0.0834245
-0.056971	0.0570436	0.0706099	-0.0704822
-0.0244923	0.0246402	0.0196872	-0.0197119
-0.0381169	0.0382311	0.0293157	-0.0291346
-0.0618557	0.062007	0.0709262	-0.0709084
-0.0317058	0.0317725	0.0276478	-0.0275305
-0.0118565	0.0119372	-0.00235034	0.00249902
-0.043556	0.0436455	0.0438609	-0.0437
-0.0396546	0.0397285	0.0408125	-0.0406843
-0.0370027	0.0370954	0.0283306	-0.028171
-0.0396869	0.0398396	0.0417413	-0.0418053
-0.00959186	0.00965988	-0.0058507	0.00599332
-0.0483012	0.0484093	0.0388438	-0.0385758
-0.0257288	0.0259011	0.0122137	-0.0122224
-0.0301319	0.0302501	0.0131084	-0.0128952
-0.0549735	0.0550811	0.0538866	-0.0537078
-0.0534615	0.0535559	0.0555197	-0.0553337
-0.0367467	0.0376288	0.0343399	-0.0347941
-0.0458225	0.0459497	0.0564274	-0.0564351
-0.0469361	0.0470104	0.0489119	-0.0487817
-0.0911728	0.0912433	0.112132	-0.11186
-0.034547	0.0358862	0.0264705	-0.0269456
-0.0753285	0.0754312	0.0852614	-0.0851042
-0.0136682	0.0137331	-0.00453808	0.00467497
-0.0255288	0.0256176	0.0135753	-0.0134329
-0.0514542	0.0516524	0.0535568	-0.0535711
-0.052981	0.0530804	0.0510266	-0.0508429
-0.0573286	0.0574279	0.0628143	-0.0626527
-0.0838476	0.0839555	0.0955986	-0.0954285
0.000371572	-0.000295909	-0.0232238	0.0233704
-0.0341225	0.0343085	0.0318105	-0.031927
-0.0324439	0.0325075	0.0331216	-0.0330187
-0.0437027	0.0438624	0.0430771	-0.043076
-0.0604488	0.0605544	0.0636838	-0.0635145
-0.0701302	0.0702102	0.0789744	-0.0788272
-0.0571815	0.0572809	0.0583806	-0.0581956
0.00471467	-0.00464991	-0.02195	0.0221014
-0.0759387	0.0760536	0.0804133	-0.0801993
-0.0507868	0.0508799	0.0504235	-0.0502119
-0.0348194	0.0352301	0.0254077	-0.0256669
-0.0337788	0.0338667	0.0310469	-0.0308818
-0.0287125	0.0287839	0.0221163	-0.0216794
-0.0506763	0.0507489	0.0596917	-0.0595767
-0.0350791	0.0351733	0.0256965	-0.0255427
-0.0495166	0.0493944	0.0568263	-0.0562333
-0.0173035	0.0173922	0.00341829	-0.00324655
-0.0539891	0.0540717	0.0611928	-0.0610501
-0.0278559	0.0279124	0.0245663	-0.0243532
-0.0274434	0.0275339	0.0195697	-0.0193947
-0.035369	0.0354347	0.0292233	-0.0291041
-0.04315	0.0432407	0.0382384	-0.0380661
-0.0626425	0.0627369	0.0795476	-0.0794918
-0.0957948	0.0959178	0.11009	-0.109879
-0.0400577	0.040057	0.0391931	-0.039056
-0.0366152	0.0364406	0.0386773	-0.0381552
-0.0290851	0.0292994	0.0178334	-0.0178531
-0.0801531	0.0804876	0.0891654	-0.0893018
-0.0522797	0.0523517	0.0610127	-0.0608797
-0.0630844	0.0631563	0.0808713	-0.0807468
0.0090363	-0.00899073	-0.024286	0.0243957
-0.0591638	0.0597612	0.0565737	-0.0570263
-0.101331	0.101416	0.133421	-0.133301
-0.0816352	0.0817503	0.0828356	-0.0826593
-0.0628457	0.0629509	0.0664094	-0.0662079
-0.0616203	0.0617302	0.0646272	-0.0644229
-0.0479857	0.0480857	0.0420385	-0.0418491
-0.0428134	0.0428913	0.0416109	-0.0414737
-0.0405085	0.0404405	0.0416718	-0.0411929
-0.0392403	0.039394	0.0406726	-0.0406516
-0.0388945	0.0389959	0.0276192	-0.0274205
-0.0697753	0.0699204	0.0793575	-0.0793381
-0.0723378	0.072645	0.0830633	-0.083088
-0.0349407	0.0348351	0.0420003	-0.0415477
-0.085127	0.0852207	0.105667	-0.105541
-0.0654186	0.0657108	0.0762747	-0.0764306
-0.0149909	0.0150227	0.00734836	-0.00717226
-0.0400229	0.0400893	0.0457112	-0.0455824
-0.076836	0.0770932	0.0880695	-0.0881347
-0.00955604	0.0096313	-0.00519799	0.00533908
-0.0199319	0.0200111	0.0114375	-0.0113139
-0.0286596	0.0286135	0.00827864	-0.00773401
-0.0488491	0.0496705	0.058198	-0.0587334
-0.0157751	0.0158546	0.00452652	-0.00439024
-0.0294694	0.0298582	0.0289103	-0.0292506
-0.0361218	0.0362094	0.0352315	-0.0350592
-0.0843607	0.0844595	0.0996993	-0.0995625
-0.0300478	0.0301219	0.0199281	-0.019782
-0.0597785	0.0598538	0.070827	-0.0706891
-0.0905237	0.0906842	0.119382	-0.119381
-0.0700253	0.0701822	0.0800241	-0.0799753
-0.0941779	0.0942862	0.117424	-0.117292
-0.0464176	0.0473312	0.0411933	-0.041682
-0.0558879	0.0560011	0.0561887	-0.0560203
-0.0680887	0.0683492	0.0822502	-0.0824143
-0.0721339	0.0722052	0.0834701	-0.0833845
