EM	OR	IM	IB
0.116416	-0.116281	-0.0924574	0.0925413
0.0978921	-0.097755	-0.0851675	0.0852757
0.171583	-0.1719	-0.130863	0.131303
0.212777	-0.212733	-0.175179	0.175431
0.0667097	-0.0672623	-0.058263	0.059101
0.115813	-0.115641	-0.0940966	0.0941983
0.100199	-0.100362	-0.088159	0.0884641
0.108247	-0.108071	-0.0890447	0.0891538
0.133888	-0.133836	-0.116467	0.116711
0.0508799	-0.0507411	-0.0498872	0.0499879
0.174981	-0.175032	-0.135534	0.135773
0.195084	-0.194927	-0.157156	0.157281
0.172208	-0.172233	-0.138661	0.138936
0.173421	-0.173273	-0.137072	0.137186
0.0829004	-0.082736	-0.0769404	0.0770558
0.124292	-0.124169	-0.0963245	0.0964044
0.094508	-0.094487	-0.0831991	0.0834206
0.0880021	-0.0878232	-0.0822816	0.0824959
0.177059	-0.176903	-0.139476	0.139589
0.194246	-0.194311	-0.161678	0.162007
0.149953	-0.149894	-0.126148	0.126383
0.145859	-0.145836	-0.118448	0.118659
0.126032	-0.125411	-0.107047	0.106957
0.111806	-0.111663	-0.0930829	0.0931854
0.138956	-0.138922	-0.113858	0.114041
0.0791131	-0.0791298	-0.0689911	0.0692989
0.146488	-0.14559	-0.119767	0.119694
0.0955311	-0.0954974	-0.0794605	0.0796189
0.183742	-0.183691	-0.149296	0.149495
0.222534	-0.222504	-0.175597	0.175817
0.158202	-0.158044	-0.123463	0.123581
0.135236	-0.135042	-0.114878	0.115015
0.143664	-0.143507	-0.110098	0.110201
0.0569214	-0.0568991	-0.0579063	0.0580948
0.119405	-0.119531	-0.102142	0.102405
0.135958	-0.135824	-0.112522	0.112619
0.173604	-0.173709	-0.136786	0.137039
0.106826	-0.106677	-0.097661	0.0977743
0.15936	-0.15932	-0.126782	0.12696
0.0267315	-0.0268394	-0.0314657	0.0317005
0.150274	-0.150217	-0.128201	0.128441
0.178768	-0.178671	-0.149303	0.149505
0.101377	-0.101186	-0.0924598	0.0925855
0.135362	-0.135171	-0.124299	0.12444
0.102534	-0.102346	-0.0879174	0.0880307
0.111551	-0.111372	-0.0933134	0.0934328
0.0951179	-0.0952936	-0.0815346	0.0821795
0.133592	-0.133442	-0.106413	0.106513
0.1254	-0.125417	-0.101674	0.101922
0.117618	-0.117009	-0.0991778	0.0991043
0.148112	-0.14793	-0.122025	0.122151
0.102101	-0.102039	-0.0918304	0.0919822
0.111638	-0.111659	-0.0911261	0.0914117
0.20556	-0.205507	-0.17075	0.170999
0.105042	-0.10492	-0.0919999	0.092092
0.153671	-0.153617	-0.123959	0.124162
0.0809983	-0.0808996	-0.0728755	0.0729625
0.0755036	-0.0756623	-0.0727192	0.0730532
0.142643	-0.143049	-0.109007	0.109494
0.102207	-0.101752	-0.0865258	0.0865294
0.131471	-0.131291	-0.11497	0.115102
0.135607	-0.135403	-0.119628	0.119776
0.12443	-0.124286	-0.107997	0.108116
0.11877	-0.118808	-0.0947775	0.0949881
0.163622	-0.163506	-0.130402	0.130513
0.0948779	-0.0946238	-0.089407	0.089374
0.035246	-0.035443	-0.0359546	0.0362553
0.115137	-0.115203	-0.103326	0.103616
0.074081	-0.0739394	-0.0720109	0.0721177
0.155001	-0.154778	-0.1339	0.134068
0.147865	-0.147669	-0.12942	0.129574
0.0861529	-0.0860062	-0.0760349	0.0761231
0.16768	-0.167213	-0.141039	0.141086
0.117387	-0.117234	-0.0986495	0.0987584
0.182334	-0.182316	-0.154778	0.155088
0.135329	-0.135216	-0.114917	0.115047
0.0425562	-0.0423314	-0.052697	0.0527982
0.13156	-0.131895	-0.098185	0.0988699
0.0415984	-0.041475	-0.0395577	0.0396255
0.0787382	-0.0785993	-0.0742495	0.0743445
0.201324	-0.201679	-0.158271	0.15876
0.114842	-0.1147	-0.0947989	0.0949155
0.134918	-0.134727	-0.107476	0.107597
0.2062	-0.206153	-0.16288	0.163066
0.188541	-0.188534	-0.144006	0.144219
0.168581	-0.168084	-0.146476	0.146482
0.153196	-0.152704	-0.122832	0.122754
0.140424	-0.140368	-0.115905	0.116105
0.117102	-0.116973	-0.0958853	0.095948
0.13058	-0.130593	-0.10859	0.10881
0.0411302	-0.0409753	-0.0452184	0.0453083
0.168379	-0.168251	-0.134989	0.1351
0.142236	-0.142275	-0.113791	0.114003
0.0699264	-0.0697966	-0.0587745	0.0588531
0.106038	-0.105858	-0.0898928	0.0900167
0.0750441	-0.0750302	-0.062475	0.0626499
0.133384	-0.132822	-0.121111	0.121029
0.111418	-0.111237	-0.0956677	0.0957907
0.0830691	-0.0829499	-0.0689204	0.069006
0.0597971	-0.0596914	-0.0486333	0.04869
