EM	OR	IM	IB
0.248855	-0.248839	-0.19292	0.193113
0.267422	-0.267435	-0.210314	0.21053
0.282521	-0.282854	-0.212894	0.213363
0.336547	-0.336542	-0.267702	0.267985
0.26225	-0.262804	-0.200156	0.201054
0.283604	-0.283678	-0.220288	0.220567
0.290937	-0.29112	-0.222329	0.222669
0.276682	-0.276699	-0.211601	0.211831
0.327758	-0.327774	-0.260576	0.260858
0.266748	-0.266749	-0.205812	0.20603
0.289025	-0.289098	-0.221257	0.22153
0.297784	-0.297842	-0.233258	0.233529
0.324106	-0.324183	-0.249087	0.249376
0.301527	-0.301621	-0.22922	0.229506
0.318848	-0.318919	-0.250389	0.250707
0.259596	-0.259637	-0.19453	0.194753
0.31449	-0.314529	-0.245511	0.245775
0.307252	-0.307326	-0.245676	0.246087
0.289581	-0.289584	-0.226148	0.226391
0.352426	-0.352555	-0.284465	0.284823
0.297148	-0.297158	-0.235149	0.235397
0.286784	-0.286781	-0.222074	0.222302
0.301774	-0.302275	-0.234717	0.235746
0.269088	-0.269093	-0.202509	0.2027
0.294042	-0.294044	-0.226453	0.226675
0.283132	-0.283171	-0.217829	0.218177
0.306662	-0.307369	-0.239956	0.241635
0.28962	-0.28961	-0.221587	0.221802
0.310203	-0.310183	-0.243417	0.243665
0.31426	-0.314275	-0.245791	0.246016
0.29754	-0.297581	-0.226371	0.226625
0.321913	-0.321945	-0.254569	0.254866
0.276455	-0.276493	-0.209168	0.209387
0.315238	-0.315242	-0.245899	0.246141
0.274952	-0.275086	-0.217582	0.217879
0.282874	-0.282974	-0.217924	0.218182
0.279388	-0.279517	-0.213101	0.213381
0.274687	-0.274701	-0.217368	0.217592
0.279411	-0.279409	-0.217612	0.217819
0.297676	-0.297787	-0.231264	0.231609
0.336329	-0.336334	-0.26583	0.266096
0.289015	-0.288971	-0.227859	0.228069
0.321429	-0.321447	-0.258664	0.258949
0.314143	-0.314209	-0.25	0.250345
0.314029	-0.314306	-0.245557	0.246043
0.29512	-0.295171	-0.227098	0.227343
0.299109	-0.299521	-0.234535	0.235409
0.278962	-0.27898	-0.208471	0.20869
0.306407	-0.306489	-0.238852	0.239128
0.277849	-0.278316	-0.215531	0.216503
0.325051	-0.325033	-0.256358	0.256582
0.27759	-0.27756	-0.216512	0.216703
0.272373	-0.272431	-0.21109	0.211397
0.320592	-0.320577	-0.253855	0.254145
0.285548	-0.285506	-0.223537	0.223735
0.279395	-0.279398	-0.215832	0.216037
0.228616	-0.228585	-0.175736	0.175877
0.316643	-0.316828	-0.251261	0.251659
0.257672	-0.258085	-0.197938	0.198462
0.238718	-0.239315	-0.183437	0.184476
0.283294	-0.283395	-0.224691	0.224933
0.335835	-0.336006	-0.267499	0.267906
0.25054	-0.25056	-0.195715	0.195937
0.259479	-0.259545	-0.194488	0.194723
0.275542	-0.275521	-0.208621	0.208813
0.288621	-0.289099	-0.2319	0.232588
0.251102	-0.25133	-0.189326	0.189658
0.314197	-0.314321	-0.254129	0.254462
0.284701	-0.284773	-0.225216	0.225531
0.326811	-0.327017	-0.25962	0.260056
0.346217	-0.34624	-0.273695	0.274019
0.267578	-0.267655	-0.212733	0.213006
0.291437	-0.291754	-0.229749	0.230499
0.282089	-0.282081	-0.21723	0.21745
0.351347	-0.351364	-0.281462	0.281826
0.263691	-0.263696	-0.208466	0.208677
0.274693	-0.274759	-0.217421	0.217796
0.222018	-0.222432	-0.16125	0.162021
0.276827	-0.276811	-0.207407	0.207577
0.306304	-0.306471	-0.236132	0.236511
0.271434	-0.271799	-0.210525	0.211054
0.267383	-0.267448	-0.203621	0.203871
0.272525	-0.272616	-0.211381	0.211685
0.279664	-0.279642	-0.218169	0.218369
0.260028	-0.260077	-0.197406	0.19761
0.342406	-0.342916	-0.280225	0.28113
0.287596	-0.28815	-0.219942	0.220851
0.284561	-0.284565	-0.220729	0.220946
0.266011	-0.266365	-0.202757	0.203202
0.294994	-0.295029	-0.227115	0.227367
0.266833	-0.266946	-0.207713	0.208006
0.288705	-0.288869	-0.225992	0.226365
0.284509	-0.284567	-0.214546	0.214787
0.267989	-0.267996	-0.199702	0.199903
0.299709	-0.29968	-0.232192	0.232422
0.250265	-0.250309	-0.191514	0.191723
0.344725	-0.345241	-0.276679	0.277707
0.288815	-0.289	-0.227741	0.228122
0.230368	-0.23054	-0.174616	0.174918
0.211872	-0.211877	-0.161275	0.161448
