EM	OR	IM	IB
0.209823	-0.209798	-0.161791	0.161947
0.210561	-0.210545	-0.165687	0.165897
0.198383	-0.198707	-0.151336	0.151783
0.24776	-0.247742	-0.200172	0.200418
0.076965	-0.0775201	-0.0666349	0.0674757
0.139265	-0.139101	-0.112571	0.112679
0.172857	-0.17303	-0.140481	0.140798
0.211975	-0.211841	-0.164658	0.164773
0.226517	-0.226474	-0.185212	0.185472
0.149058	-0.148909	-0.120068	0.120197
0.206431	-0.206505	-0.161238	0.161478
0.236656	-0.236674	-0.188439	0.188707
0.220765	-0.220796	-0.174304	0.174587
0.202132	-0.202219	-0.158541	0.158805
0.224203	-0.224251	-0.179001	0.179289
0.181575	-0.181458	-0.137305	0.137398
0.259914	-0.259932	-0.204726	0.204975
0.195988	-0.196027	-0.160338	0.160707
0.213029	-0.212868	-0.168533	0.168654
0.248719	-0.248772	-0.205139	0.205508
0.188221	-0.188168	-0.153496	0.153738
0.172581	-0.172534	-0.139275	0.139508
0.218413	-0.217827	-0.173333	0.17327
0.180232	-0.180099	-0.140684	0.140797
0.182482	-0.182476	-0.14686	0.147045
0.12607	-0.12608	-0.104062	0.104388
0.219346	-0.218478	-0.17418	0.174115
0.155397	-0.155346	-0.121599	0.121786
0.232457	-0.232404	-0.187381	0.187606
0.231656	-0.231612	-0.183464	0.183694
0.197329	-0.197167	-0.151438	0.151568
0.210638	-0.210625	-0.171071	0.17135
0.175742	-0.175739	-0.133723	0.13393
0.159812	-0.15978	-0.130898	0.131115
0.234354	-0.234448	-0.18492	0.185222
0.191522	-0.191422	-0.152508	0.152606
0.201263	-0.201374	-0.157799	0.158058
0.167451	-0.167303	-0.140723	0.14085
0.170107	-0.170044	-0.135075	0.135271
0.162805	-0.162904	-0.133916	0.134216
0.21111	-0.211076	-0.173273	0.173516
0.253134	-0.253059	-0.202284	0.202501
0.168905	-0.168867	-0.146834	0.147105
0.188041	-0.188076	-0.159835	0.160164
0.221083	-0.220894	-0.174742	0.174883
0.215883	-0.215891	-0.169047	0.169298
0.227514	-0.227686	-0.181234	0.181918
0.178392	-0.1784	-0.137445	0.137633
0.218867	-0.2189	-0.171377	0.171653
0.173512	-0.173927	-0.14212	0.143051
0.258505	-0.258444	-0.205802	0.206026
0.162173	-0.16213	-0.133997	0.134167
0.202791	-0.202807	-0.161526	0.161835
0.239142	-0.239084	-0.194764	0.195033
0.202613	-0.202569	-0.161667	0.161828
0.186044	-0.185984	-0.145665	0.145876
0.108351	-0.10823	-0.0935585	0.0936634
0.135268	-0.135397	-0.119871	0.120251
0.181253	-0.181671	-0.138679	0.139171
0.16543	-0.166002	-0.131541	0.13255
0.200154	-0.199973	-0.162863	0.163012
0.18048	-0.180273	-0.153071	0.153228
0.148213	-0.148197	-0.124441	0.124646
0.148874	-0.148919	-0.11724	0.117458
0.256285	-0.256263	-0.194862	0.195049
0.161932	-0.161682	-0.138037	0.138035
0.0863238	-0.0865329	-0.0729043	0.0732091
0.157811	-0.157878	-0.135615	0.135916
0.161375	-0.1614	-0.134708	0.135009
0.185501	-0.185667	-0.15835	0.158768
0.224825	-0.224833	-0.184212	0.184495
0.177732	-0.177766	-0.146502	0.146753
0.195155	-0.195459	-0.161858	0.162596
0.190108	-0.189958	-0.151182	0.151309
0.246986	-0.246983	-0.201702	0.202033
0.135329	-0.135216	-0.114917	0.115047
0.140514	-0.140267	-0.12007	0.1202
0.160684	-0.161016	-0.117914	0.118606
0.123161	-0.123121	-0.097668	0.0978113
0.17249	-0.172322	-0.141315	0.141455
0.223217	-0.223565	-0.175049	0.175571
0.181772	-0.181823	-0.143682	0.143925
0.142015	-0.14184	-0.114262	0.114385
0.235163	-0.235117	-0.182465	0.182656
0.197582	-0.197582	-0.151568	0.151779
0.249907	-0.250309	-0.208184	0.209107
0.190281	-0.189806	-0.151554	0.15148
0.236554	-0.236511	-0.183819	0.184034
0.194971	-0.194831	-0.151665	0.151752
0.209389	-0.209389	-0.164946	0.165191
0.123017	-0.123095	-0.102905	0.103157
0.208975	-0.209132	-0.1654	0.165735
0.168794	-0.168826	-0.132023	0.132242
0.116381	-0.116237	-0.0935124	0.0936112
0.165585	-0.165428	-0.134779	0.13491
0.0985054	-0.0985001	-0.0807973	0.0809781
0.226641	-0.226094	-0.189695	0.189659
0.182608	-0.182759	-0.146971	0.147322
0.113149	-0.113027	-0.0892239	0.0893157
0.0986314	-0.0986244	-0.0767368	0.0768566
