EM	OR	IM	IB
0.139717	-0.139697	-0.262314	0.2626
0.16809	-0.168102	-0.306018	0.306332
0.145282	-0.145496	-0.276041	0.276746
0.179213	-0.179204	-0.341315	0.341692
0.132517	-0.132898	-0.250691	0.251984
0.150793	-0.150821	-0.283509	0.283933
0.146029	-0.146136	-0.275272	0.275788
0.153395	-0.153408	-0.285605	0.285921
0.175643	-0.175634	-0.334019	0.334424
0.145292	-0.14528	-0.27237	0.272713
0.143297	-0.143347	-0.273408	0.273783
0.187324	-0.187365	-0.339674	0.340081
0.178969	-0.179012	-0.332902	0.333338
0.160426	-0.160484	-0.29852	0.298949
0.173385	-0.173416	-0.329523	0.329991
0.136536	-0.136473	-0.254661	0.254808
0.190086	-0.190105	-0.348822	0.349221
0.194197	-0.194249	-0.354509	0.355075
0.181915	-0.181926	-0.329699	0.330062
0.197067	-0.197115	-0.373088	0.373665
0.152381	-0.152346	-0.296076	0.29646
0.142631	-0.14262	-0.273942	0.274275
0.182314	-0.182682	-0.334065	0.335492
0.148396	-0.148395	-0.272491	0.272784
0.134005	-0.133996	-0.262418	0.262718
0.124912	-0.124911	-0.246905	0.247383
0.168174	-0.168691	-0.316144	0.318307
0.173826	-0.173812	-0.317476	0.317799
0.182406	-0.182393	-0.335074	0.335443
0.189013	-0.189032	-0.346348	0.346686
0.185618	-0.18565	-0.333988	0.334375
0.195815	-0.195825	-0.360156	0.360607
0.127143	-0.127144	-0.248794	0.249118
0.132573	-0.132548	-0.271238	0.27158
0.150149	-0.150204	-0.28654	0.287
0.147909	-0.147971	-0.276616	0.277013
0.164055	-0.164134	-0.300756	0.301186
0.145815	-0.145799	-0.279751	0.280077
0.145314	-0.145286	-0.278339	0.278659
0.164988	-0.165048	-0.308386	0.308909
0.174238	-0.17423	-0.331737	0.332134
0.169129	-0.169094	-0.31308	0.31339
0.176262	-0.17628	-0.332554	0.332956
0.148157	-0.148174	-0.291106	0.291606
0.17994	-0.180118	-0.331796	0.332528
0.184732	-0.18477	-0.333435	0.333808
0.180879	-0.181159	-0.3329	0.334133
0.117677	-0.117677	-0.231884	0.232177
0.173342	-0.173383	-0.322708	0.323129
0.163244	-0.163579	-0.301557	0.302917
0.174378	-0.174356	-0.331818	0.332138
0.139633	-0.139599	-0.26938	0.26965
0.157418	-0.157449	-0.290246	0.29069
0.191896	-0.191887	-0.353941	0.354357
0.169581	-0.169556	-0.313029	0.31331
0.155968	-0.155966	-0.290484	0.290793
0.130398	-0.130373	-0.241525	0.241743
0.139219	-0.139298	-0.280176	0.280798
0.137058	-0.137329	-0.257731	0.258554
0.1272	-0.127619	-0.237661	0.239093
0.164351	-0.164392	-0.30763	0.308024
0.174227	-0.174129	-0.336268	0.336513
0.147748	-0.147756	-0.273876	0.274197
0.136748	-0.136783	-0.25596	0.256312
0.157854	-0.157843	-0.289488	0.289764
0.13821	-0.138539	-0.270599	0.271579
0.0993439	-0.0994667	-0.201031	0.20153
0.143337	-0.143379	-0.288963	0.289462
0.164508	-0.16455	-0.306013	0.306462
0.191706	-0.191843	-0.353993	0.354646
0.20533	-0.205347	-0.378328	0.378796
0.152031	-0.152075	-0.283752	0.284154
0.170422	-0.170639	-0.315811	0.316855
0.166956	-0.166953	-0.306291	0.306619
0.204685	-0.204698	-0.381899	0.38243
0.153009	-0.153018	-0.283136	0.283451
0.142362	-0.142391	-0.270564	0.271095
0.108676	-0.108948	-0.204836	0.205936
0.130841	-0.130823	-0.250177	0.250415
0.182613	-0.182529	-0.334517	0.334753
0.169798	-0.170043	-0.308252	0.309056
0.16648	-0.166525	-0.300417	0.300793
0.129089	-0.128999	-0.252596	0.252772
0.168883	-0.168866	-0.310705	0.310985
0.13439	-0.134395	-0.252546	0.252848
0.189514	-0.18986	-0.362141	0.363452
0.148156	-0.148537	-0.278834	0.280129
0.171169	-0.171166	-0.314062	0.314386
0.165943	-0.166175	-0.299388	0.300084
0.184736	-0.184763	-0.333446	0.333825
0.119344	-0.119398	-0.237443	0.237854
0.181763	-0.181872	-0.329031	0.32959
0.159168	-0.159208	-0.290673	0.291041
0.139217	-0.139147	-0.259921	0.260086
0.178273	-0.178254	-0.327361	0.327696
0.109133	-0.109132	-0.218037	0.218328
0.204478	-0.203909	-0.380936	0.381093
0.143136	-0.143239	-0.279341	0.279894
0.128881	-0.128978	-0.238425	0.238893
0.123	-0.122995	-0.227622	0.227879
