EM	OR	IM	IB
0.0252146	-0.02517	-0.0482545	0.0483548
0.0234635	-0.0234241	-0.045018	0.0451245
0.0216032	-0.0215875	-0.0410911	0.0412026
0.0386919	-0.0386399	-0.0714588	0.071608
0.0235636	-0.0237366	-0.045024	0.0454588
0.0295134	-0.0294636	-0.055372	0.0554912
0.0238498	-0.0238122	-0.0450405	0.0451411
0.0172877	-0.0172489	-0.0340923	0.0341974
0.0379651	-0.0379236	-0.0706746	0.0708031
0.0229419	-0.0229048	-0.0440671	0.0441737
0.0276916	-0.0276461	-0.051876	0.0519939
0.0323606	-0.0323157	-0.0601887	0.0603045
0.0297637	-0.0297237	-0.0550032	0.0551108
0.0296757	-0.0296387	-0.0555499	0.0556456
0.0319851	-0.0319385	-0.0594688	0.0595982
0.0124367	-0.0124026	-0.0258728	0.0259629
0.0288548	-0.0288119	-0.0537437	0.053862
0.0364309	-0.0363841	-0.0677611	0.067995
0.0267332	-0.0266916	-0.0506557	0.0507683
0.0476269	-0.0475809	-0.0862856	0.0864088
0.02568	-0.0256364	-0.0488582	0.0489749
0.0281197	-0.0280769	-0.0529458	0.053062
0.0229199	-0.0230868	-0.0441195	0.0446744
0.0153065	-0.0152729	-0.0304774	0.0305649
0.0288106	-0.0287694	-0.0538626	0.0539753
0.0215025	-0.0214928	-0.0411078	0.0413282
0.0301129	-0.0304733	-0.05696	0.0580038
0.0231534	-0.0231138	-0.0440596	0.0441673
0.0361654	-0.0361245	-0.0670974	0.0672216
0.0359446	-0.0359072	-0.0661809	0.0662715
0.0222302	-0.0221913	-0.042409	0.0425132
0.0283661	-0.0283173	-0.0531613	0.0532976
0.0168188	-0.0167849	-0.0330692	0.0331579
0.0296634	-0.0296219	-0.0553747	0.0554873
0.032595	-0.0325606	-0.0608045	0.0609022
0.0301077	-0.0300764	-0.0562077	0.0562889
0.0215688	-0.0215347	-0.0412065	0.0412964
0.032117	-0.0320802	-0.0604638	0.0605661
0.020351	-0.020314	-0.0394561	0.0395552
0.0281428	-0.0281	-0.0535281	0.053664
0.0334241	-0.0333838	-0.0616695	0.0617935
0.029839	-0.029794	-0.055955	0.0560813
0.0330704	-0.0330225	-0.0614275	0.0615604
0.0374369	-0.0373873	-0.0692117	0.0693741
0.0345644	-0.0345214	-0.0639908	0.0641323
0.0237431	-0.0237057	-0.0449337	0.0450342
0.0237939	-0.0238921	-0.0455284	0.0460009
0.0188336	-0.0187976	-0.0365332	0.0366287
0.0341881	-0.0341535	-0.0631828	0.0632764
0.0226741	-0.0228362	-0.0442574	0.0448187
0.0322374	-0.0321963	-0.0593628	0.0594755
0.027754	-0.0277139	-0.052165	0.0522731
0.0206847	-0.0206639	-0.039967	0.0401391
0.0282058	-0.0281539	-0.0531647	0.0533121
0.0239529	-0.0239122	-0.0458838	0.045996
0.0293358	-0.0293032	-0.0551671	0.0552572
0.0179335	-0.0179019	-0.0353592	0.0354416
0.0306199	-0.0305744	-0.0572869	0.0574146
0.0187438	-0.0187698	-0.036642	0.0367756
0.0129854	-0.0131904	-0.0276779	0.0281974
0.0279105	-0.0278857	-0.0529943	0.053074
0.0318622	-0.0318135	-0.059014	0.059145
0.0167939	-0.0167547	-0.0338992	0.0340064
0.0125465	-0.0125132	-0.0259069	0.0259938
0.022464	-0.0224262	-0.0428047	0.0429067
0.0283829	-0.0284645	-0.0541317	0.0543821
0.0142199	-0.014189	-0.028666	0.0287464
0.0358654	-0.0358197	-0.0664694	0.0665969
0.0246703	-0.0246216	-0.0478808	0.0480202
0.0377109	-0.0376587	-0.0693254	0.0694768
0.0381922	-0.0381373	-0.0699422	0.070098
0.0216241	-0.0215839	-0.0421111	0.042222
0.0256043	-0.0256956	-0.0488103	0.0492627
0.0257052	-0.0256643	-0.0484068	0.0485138
0.0390317	-0.0389704	-0.0719748	0.0721509
0.0220692	-0.0220374	-0.0433698	0.0434736
0.0227398	-0.0227043	-0.0441158	0.044325
0.00790251	-0.00804092	-0.0180891	0.0185411
0.0236339	-0.0235988	-0.0449431	0.0450213
0.0260163	-0.0259716	-0.0490924	0.0492169
0.0199053	-0.0198987	-0.0391937	0.0393418
0.0194776	-0.0194404	-0.0380412	0.0381416
0.0187177	-0.0186746	-0.0369695	0.0370856
0.0259687	-0.025935	-0.049353	0.0494598
0.0252511	-0.025226	-0.0480895	0.0481622
0.0428322	-0.0429697	-0.0793921	0.0798145
0.0184882	-0.0186566	-0.0362766	0.0366993
0.0203268	-0.0202898	-0.0394437	0.0395427
0.0205687	-0.020555	-0.0393653	0.0394638
0.024677	-0.0246355	-0.0465628	0.046677
0.0184224	-0.0183837	-0.0366171	0.0367211
0.0270319	-0.026992	-0.0516596	0.0517886
0.021157	-0.021129	-0.0408457	0.0409362
0.0145226	-0.0144892	-0.029074	0.0291612
0.0250381	-0.024994	-0.0474586	0.0475815
0.0165639	-0.0165388	-0.0333829	0.0334642
0.0384228	-0.038582	-0.0708672	0.0713941
0.0238196	-0.0237762	-0.0457198	0.04584
0.0166499	-0.0166152	-0.0331569	0.0332495
0.00907673	-0.00904321	-0.0203732	0.0204628
