EM	OR	IM	IB
-0.147721	0.147928	0.184503	-0.184458
-0.193965	0.194172	0.246667	-0.246679
-0.184815	0.185275	0.243047	-0.243374
-0.232175	0.232434	0.289916	-0.28991
-0.167686	0.168582	0.214676	-0.215223
-0.206914	0.207186	0.265218	-0.265298
-0.173524	0.173867	0.223564	-0.223708
-0.172237	0.17246	0.221989	-0.221996
-0.233145	0.23344	0.289855	-0.289833
-0.197567	0.197763	0.255633	-0.255659
-0.190416	0.190662	0.245414	-0.245508
-0.192894	0.193164	0.240174	-0.240213
-0.205369	0.205645	0.265802	-0.265861
-0.193003	0.193274	0.251781	-0.251867
-0.225378	0.225685	0.284655	-0.284729
-0.169904	0.170117	0.225997	-0.226037
-0.200354	0.200619	0.253133	-0.253127
-0.198258	0.198628	0.245534	-0.245581
-0.186252	0.186497	0.236342	-0.23632
-0.239949	0.2403	0.290116	-0.290232
-0.200106	0.200341	0.249557	-0.249567
-0.163193	0.163386	0.20579	-0.205771
-0.188138	0.189144	0.238167	-0.23867
-0.186487	0.186674	0.249609	-0.249599
-0.178816	0.178955	0.228846	-0.228705
-0.186975	0.187312	0.242756	-0.242789
-0.160504	0.162172	0.192131	-0.192804
-0.164638	0.16476	0.207812	-0.207678
-0.191415	0.191595	0.23734	-0.237169
-0.199173	0.199391	0.248555	-0.248572
-0.180872	0.181118	0.232189	-0.232209
-0.238508	0.238808	0.302142	-0.302156
-0.154511	0.154722	0.199655	-0.199663
-0.237052	0.237292	0.304166	-0.304166
-0.192872	0.193178	0.241923	-0.242041
-0.187544	0.187818	0.239852	-0.239916
-0.184486	0.18478	0.241431	-0.241528
-0.183822	0.184054	0.229568	-0.229559
-0.178919	0.179039	0.228023	-0.227891
-0.204377	0.204709	0.260961	-0.261069
-0.206061	0.206235	0.254542	-0.254352
-0.201508	0.201707	0.254995	-0.254934
-0.230165	0.230449	0.284784	-0.284788
-0.23123	0.231558	0.289864	-0.289935
-0.206963	0.207413	0.260663	-0.260971
-0.186421	0.186666	0.237285	-0.23731
-0.209317	0.210175	0.263725	-0.264148
-0.183206	0.183418	0.244152	-0.244162
-0.192917	0.193202	0.241423	-0.241477
-0.187473	0.188436	0.238473	-0.238938
-0.216765	0.217008	0.269024	-0.268953
-0.171024	0.17121	0.214392	-0.214325
-0.189353	0.189555	0.242843	-0.242766
-0.20155	0.201827	0.251538	-0.251498
-0.193702	0.193897	0.245249	-0.245192
-0.164743	0.16488	0.209075	-0.208933
-0.140445	0.140577	0.180205	-0.180151
-0.238806	0.23918	0.302288	-0.302483
-0.172203	0.172709	0.222471	-0.222889
-0.162821	0.163845	0.211185	-0.211799
-0.181364	0.181627	0.224097	-0.224132
-0.234535	0.234921	0.29228	-0.29246
-0.141186	0.141406	0.179582	-0.179546
-0.185993	0.186217	0.252248	-0.252306
-0.178889	0.179065	0.235685	-0.235651
-0.19284	0.193478	0.237924	-0.23838
-0.184044	0.18438	0.24573	-0.245945
-0.231475	0.231808	0.285691	-0.285788
-0.191296	0.191582	0.241205	-0.241263
-0.201178	0.201616	0.246543	-0.24671
-0.220998	0.221309	0.275664	-0.275645
-0.152345	0.152612	0.184195	-0.184254
-0.191316	0.192066	0.236887	-0.237169
-0.199885	0.200087	0.260854	-0.26086
-0.209986	0.21032	0.253648	-0.253633
-0.190183	0.1904	0.243492	-0.243448
-0.200271	0.200608	0.256126	-0.25619
-0.108959	0.109712	0.149767	-0.150183
-0.194632	0.194824	0.259094	-0.259057
-0.206694	0.207046	0.263927	-0.264108
-0.157041	0.157549	0.196066	-0.196425
-0.178758	0.179005	0.232682	-0.232725
-0.185952	0.186257	0.24102	-0.241094
-0.154331	0.154476	0.190448	-0.190287
-0.120927	0.12112	0.149857	-0.149898
-0.259569	0.260465	0.315039	-0.31553
-0.175482	0.176383	0.227896	-0.228422
-0.202268	0.20247	0.264032	-0.264026
-0.18315	0.183593	0.240579	-0.240923
-0.191089	0.191329	0.246042	-0.246072
-0.184018	0.184313	0.234391	-0.234487
-0.19506	0.19544	0.245196	-0.245334
-0.133089	0.133216	0.170963	-0.170798
-0.167894	0.168084	0.222425	-0.222434
-0.204931	0.20515	0.261782	-0.261757
-0.183548	0.183766	0.240953	-0.240979
-0.22295	0.223948	0.276292	-0.276789
-0.205677	0.206075	0.258073	-0.258231
-0.153224	0.153514	0.197505	-0.197685
-0.124116	0.124264	0.156588	-0.156608
