EM	OR	IM	IB
-0.121387	0.121574	0.147124	-0.147086
-0.121983	0.122174	0.148689	-0.148671
-0.126549	0.126991	0.160738	-0.161062
-0.129942	0.13018	0.14835	-0.148304
-0.132985	0.132874	0.170868	-0.170409
-0.156944	0.157216	0.195277	-0.195321
-0.13808	0.138405	0.179183	-0.179324
-0.154989	0.15521	0.196826	-0.196826
-0.187278	0.187547	0.233863	-0.233813
-0.157577	0.157766	0.199534	-0.199539
-0.15259	0.152845	0.188944	-0.189018
-0.108524	0.108783	0.125509	-0.12552
-0.138277	0.138534	0.172352	-0.172405
-0.128484	0.128753	0.162894	-0.162934
-0.143443	0.143713	0.172037	-0.172071
-0.128764	0.128966	0.16846	-0.168492
-0.147049	0.147196	0.182308	-0.182114
-0.17414	0.1745	0.212763	-0.21281
-0.131516	0.13174	0.160261	-0.160242
-0.119113	0.119258	0.124999	-0.124803
-0.10025	0.100384	0.113873	-0.113665
-0.121525	0.121715	0.150852	-0.150805
-0.110204	0.111185	0.134033	-0.134518
-0.149013	0.149183	0.202072	-0.20206
-0.145876	0.145996	0.18838	-0.188238
-0.154461	0.154624	0.199265	-0.19908
-0.137801	0.139183	0.164025	-0.164487
-0.152801	0.152919	0.191702	-0.191563
-0.148775	0.148935	0.181289	-0.181122
-0.100438	0.100648	0.111882	-0.111847
-0.109178	0.109402	0.13464	-0.134639
-0.174512	0.174787	0.214041	-0.214052
-0.111186	0.111394	0.137991	-0.137986
-0.207687	0.207833	0.264925	-0.264757
-0.14003	0.140163	0.171642	-0.17149
-0.1257	0.125957	0.154427	-0.154461
-0.0805185	0.0806037	0.0983372	-0.0982319
-0.13999	0.140189	0.17403	-0.174036
-0.118349	0.118472	0.140861	-0.140686
-0.191461	0.191787	0.243238	-0.243349
-0.179607	0.179758	0.221327	-0.221132
-0.112658	0.112775	0.130066	-0.129924
-0.191501	0.191767	0.233925	-0.23391
-0.156981	0.157271	0.194704	-0.194706
-0.186845	0.187292	0.235089	-0.235374
-0.138553	0.138803	0.171381	-0.171368
-0.165549	0.166399	0.205192	-0.205588
-0.159451	0.159655	0.211104	-0.211113
-0.192917	0.193202	0.241423	-0.241477
-0.128492	0.12941	0.1576	-0.158057
-0.1691	0.169343	0.203658	-0.203545
-0.143593	0.143769	0.183606	-0.183545
-0.171148	0.171354	0.218811	-0.218707
-0.128642	0.128804	0.152169	-0.151981
-0.151248	0.151419	0.188291	-0.188217
-0.127084	0.127208	0.15678	-0.156623
-0.0980026	0.0981115	0.123965	-0.123913
-0.171554	0.171687	0.210508	-0.210339
-0.123747	0.124244	0.156258	-0.156667
-0.134282	0.135052	0.174095	-0.174468
-0.114659	0.114921	0.134876	-0.134881
-0.13649	0.13686	0.164539	-0.164659
-0.0807387	0.0809043	0.100988	-0.100977
-0.141573	0.141789	0.189473	-0.189524
-0.0895607	0.0897072	0.113625	-0.113592
-0.144844	0.145474	0.172311	-0.172741
-0.161435	0.161768	0.21483	-0.215025
-0.166253	0.166564	0.198143	-0.198207
-0.145499	0.14577	0.178159	-0.178197
-0.139192	0.139594	0.160942	-0.161111
-0.122991	0.123242	0.143912	-0.143902
-0.145559	0.145808	0.176547	-0.17661
-0.0843902	0.0849956	0.096363	-0.0965356
-0.129015	0.129213	0.160507	-0.160473
-0.148929	0.149193	0.171873	-0.17187
-0.165085	0.165299	0.208848	-0.208798
-0.158417	0.15875	0.203582	-0.203596
-0.108959	0.109712	0.149767	-0.150183
-0.164347	0.164532	0.215854	-0.215808
-0.168279	0.16863	0.214135	-0.214282
-0.0853184	0.0857926	0.0949737	-0.0953381
-0.120445	0.120655	0.156611	-0.156653
-0.16095	0.16125	0.206498	-0.206557
-0.119226	0.11937	0.139101	-0.138931
-0.0894102	0.0895058	0.108827	-0.10871
-0.164591	0.16545	0.186976	-0.187438
-0.124483	0.125342	0.157879	-0.158395
-0.164481	0.164675	0.211869	-0.211845
-0.127296	0.127724	0.162195	-0.162535
-0.150771	0.150995	0.192306	-0.192311
-0.165103	0.165393	0.209825	-0.209904
-0.136291	0.136608	0.163059	-0.163202
-0.110104	0.110217	0.140373	-0.140222
-0.138192	0.13837	0.184021	-0.184024
-0.146762	0.146959	0.182005	-0.181961
-0.144042	0.144159	0.186013	-0.185889
-0.166804	0.16779	0.200814	-0.201282
-0.140877	0.14125	0.171533	-0.171663
-0.121465	0.121741	0.15647	-0.156639
-0.124116	0.124264	0.156588	-0.156608
