EM	OR	IM	IB
-0.239661	0.239956	0.12803	-0.12802
-0.29598	0.296293	0.159853	-0.159858
-0.29452	0.295238	0.160829	-0.161052
-0.377855	0.378259	0.205678	-0.205684
-0.285512	0.286809	0.155905	-0.156299
-0.303708	0.304116	0.16458	-0.16463
-0.314875	0.315416	0.172101	-0.172211
-0.285992	0.286324	0.15514	-0.155155
-0.358782	0.359212	0.193996	-0.193992
-0.290772	0.291076	0.159058	-0.159083
-0.305633	0.306019	0.166316	-0.166373
-0.317117	0.317503	0.1714	-0.171445
-0.348582	0.349017	0.190484	-0.190538
-0.319142	0.319568	0.174973	-0.175041
-0.352501	0.352965	0.191466	-0.191516
-0.266859	0.267188	0.145349	-0.145378
-0.349628	0.350042	0.190785	-0.190795
-0.330888	0.33142	0.177715	-0.177774
-0.313777	0.314133	0.170314	-0.170324
-0.367992	0.368519	0.197324	-0.197408
-0.336723	0.337086	0.18292	-0.182935
-0.317811	0.318119	0.173581	-0.173588
-0.340748	0.342179	0.186319	-0.186699
-0.293112	0.293405	0.160717	-0.160718
-0.309846	0.310157	0.168255	-0.168263
-0.307267	0.30773	0.167402	-0.167435
-0.320421	0.322563	0.172591	-0.17312
-0.30369	0.304015	0.165518	-0.165516
-0.340977	0.341357	0.185277	-0.185249
-0.336541	0.336883	0.182608	-0.182622
-0.309637	0.310025	0.168898	-0.168921
-0.362513	0.362943	0.196996	-0.197019
-0.286679	0.287014	0.156274	-0.156297
-0.347619	0.347976	0.18922	-0.189224
-0.298733	0.299195	0.160885	-0.160957
-0.299056	0.299478	0.162581	-0.162627
-0.296759	0.297222	0.162251	-0.162326
-0.296073	0.296425	0.159395	-0.159393
-0.314107	0.314386	0.171372	-0.171381
-0.322739	0.323237	0.17517	-0.17524
-0.380945	0.38134	0.207717	-0.207718
-0.31757	0.317862	0.171689	-0.17166
-0.354158	0.354581	0.190898	-0.190908
-0.34636	0.346852	0.187147	-0.187191
-0.336508	0.337218	0.182383	-0.182575
-0.300709	0.301081	0.16297	-0.162999
-0.333766	0.334985	0.181172	-0.181461
-0.287438	0.287761	0.157189	-0.157205
-0.326196	0.326627	0.176912	-0.176958
-0.296295	0.297651	0.160039	-0.160376
-0.363507	0.363863	0.197989	-0.197967
-0.306038	0.306325	0.166623	-0.166598
-0.290543	0.290969	0.157531	-0.157563
-0.361689	0.362092	0.196408	-0.196407
-0.329405	0.329687	0.179998	-0.17998
-0.300546	0.300863	0.163143	-0.163138
-0.242638	0.242832	0.130758	-0.130739
-0.363866	0.364443	0.198462	-0.19859
-0.274097	0.274888	0.148465	-0.148747
-0.252411	0.253825	0.136395	-0.136835
-0.301843	0.302246	0.162431	-0.162474
-0.371982	0.372582	0.201542	-0.201662
-0.281984	0.28232	0.153151	-0.153165
-0.290453	0.290811	0.159564	-0.159606
-0.292831	0.293106	0.15983	-0.15982
-0.333241	0.334253	0.180243	-0.180568
-0.275565	0.27609	0.150706	-0.150841
-0.363329	0.363826	0.197008	-0.197086
-0.333871	0.334313	0.182534	-0.182598
-0.352163	0.352811	0.190183	-0.19031
-0.391473	0.391946	0.213651	-0.213662
-0.298781	0.299174	0.160921	-0.16097
-0.322416	0.323471	0.174757	-0.174964
-0.307033	0.307339	0.167424	-0.167426
-0.391096	0.391617	0.211787	-0.2118
-0.302258	0.302573	0.163693	-0.163681
-0.316958	0.317454	0.171815	-0.17186
-0.235374	0.236474	0.12911	-0.129392
-0.290568	0.290857	0.159366	-0.159349
-0.317352	0.317919	0.172115	-0.172223
-0.294101	0.294899	0.159719	-0.159967
-0.274866	0.275241	0.149001	-0.149038
-0.308408	0.30886	0.167889	-0.167947
-0.303208	0.303509	0.164464	-0.164438
-0.266927	0.267233	0.145334	-0.145365
-0.380662	0.381949	0.203979	-0.204333
-0.305424	0.306709	0.16614	-0.166536
-0.321495	0.321817	0.175284	-0.175287
-0.288412	0.289108	0.15718	-0.157404
-0.313862	0.314233	0.170765	-0.170788
-0.280518	0.280949	0.151051	-0.151122
-0.296176	0.296739	0.159266	-0.159358
-0.30101	0.301396	0.164889	-0.164911
-0.282151	0.282451	0.154688	-0.154697
-0.31828	0.318605	0.172751	-0.172737
-0.272482	0.272811	0.148345	-0.148365
-0.392358	0.393793	0.21241	-0.212784
-0.319095	0.31969	0.172818	-0.172925
-0.226698	0.227148	0.122366	-0.122479
-0.197553	0.197792	0.104826	-0.10483
