EM	OR	IM	IB
0.0476971	-0.0475564	-0.0441205	0.0441945
0.0712199	-0.0710784	-0.064376	0.0644722
0.0779092	-0.0777632	-0.0635693	0.0636276
0.106443	-0.106253	-0.0958953	0.0960151
0.0447203	-0.0452776	-0.042792	0.0436232
0.0274509	-0.0272948	-0.0319648	0.0320458
0.062657	-0.0625008	-0.0592215	0.0593164
0.0435761	-0.0434338	-0.0386548	0.0387274
0.0223542	-0.0221649	-0.0360178	0.0361355
0.0159275	-0.0158104	-0.0228176	0.0228728
0.0465735	-0.0464523	-0.0404304	0.0404936
0.10913	-0.108962	-0.0919386	0.0920508
0.0929725	-0.0928179	-0.0795987	0.0796967
0.0806483	-0.0804921	-0.070172	0.070287
0.073301	-0.0731324	-0.0689882	0.0691029
0.062816	-0.0626901	-0.0523315	0.0524033
0.0718567	-0.0718189	-0.0676741	0.067903
0.0230413	-0.0228014	-0.034004	0.0341031
0.0749007	-0.0747372	-0.0671588	0.0672525
0.135922	-0.135969	-0.115421	0.115747
0.126268	-0.126208	-0.10752	0.107751
0.0789419	-0.0787914	-0.0717015	0.0718232
0.117131	-0.116523	-0.0993176	0.0992177
0.0337071	-0.0335753	-0.0371812	0.0372595
0.0483413	-0.0483233	-0.0507786	0.0509393
0.0400728	-0.0399715	-0.0413345	0.0415657
0.0765462	-0.0756783	-0.0691435	0.0690319
0.040586	-0.0405725	-0.0395654	0.0397032
0.065694	-0.0656232	-0.0620047	0.062177
0.13151	-0.131322	-0.108056	0.108178
0.115344	-0.115183	-0.0933403	0.0934496
0.0516812	-0.051494	-0.0507734	0.0508756
0.101174	-0.101033	-0.0799698	0.0800555
-0.00901277	0.00902577	-0.00782137	0.00798985
0.0458313	-0.0459215	-0.0467916	0.0470404
0.0679561	-0.0677932	-0.0607868	0.0608916
0.137129	-0.137246	-0.110309	0.110549
0.0371216	-0.0369787	-0.0447799	0.0448626
0.087881	-0.0878297	-0.0752791	0.0754499
0.000883917	-0.00072996	-0.0112623	0.0113322
0.0485848	-0.0485522	-0.0512551	0.0514545
0.0902619	-0.090168	-0.0820896	0.0822341
0.0198054	-0.0196285	-0.0323057	0.0324027
0.0435172	-0.0433209	-0.0531569	0.0532745
0.0137322	-0.0135724	-0.0231509	0.0232281
0.0723912	-0.0722174	-0.0633296	0.0634249
0.0408976	-0.0403822	-0.0423113	0.0422527
0.0265498	-0.0264235	-0.0285296	0.0285906
0.00554584	-0.00540211	-0.0137254	0.0137926
0.0717166	-0.0711491	-0.0630216	0.0629062
0.0562902	-0.0560932	-0.0537525	0.0538642
0.0374504	-0.0373172	-0.0440972	0.0441745
0.00974247	-0.00963892	-0.018975	0.0191404
0.110798	-0.110721	-0.0954869	0.0957094
0.040267	-0.0401296	-0.0444626	0.0445453
0.0705402	-0.0704949	-0.062383	0.0625537
0.0648351	-0.0647288	-0.0584268	0.0585068
0.0371732	-0.037341	-0.0451488	0.0454693
0.0629403	-0.0627808	-0.0547124	0.0547247
0.0317538	-0.0312995	-0.0346049	0.0345889
0.0886814	-0.0884776	-0.0805701	0.0806965
0.105735	-0.105515	-0.0972513	0.0973982
0.109348	-0.109212	-0.0966193	0.0967318
0.0413394	-0.0412131	-0.0393329	0.0394061
0.11772	-0.117593	-0.0963766	0.0964789
0.0401876	-0.0399385	-0.0501727	0.0501404
0.00475677	-0.00463728	-0.0131999	0.0132655
0.0427343	-0.0425543	-0.0510084	0.0511168
0.0488684	-0.048718	-0.0519764	0.0520761
0.085685	-0.0854777	-0.0789319	0.0790524
0.116894	-0.11671	-0.106755	0.106881
0.0448261	-0.0446729	-0.0445909	0.0446699
0.143792	-0.143321	-0.119336	0.119363
0.0701099	-0.0699602	-0.0614447	0.0615334
0.0882293	-0.0880494	-0.0858075	0.0859392
0.00912903	-0.0089786	-0.021248	0.0213329
0.0170141	-0.0167583	-0.033244	0.0333504
0.0531925	-0.052727	-0.0439395	0.0438238
0.0148746	-0.0147513	-0.0191239	0.0191855
0.033676	-0.0335267	-0.0378801	0.0379621
0.131339	-0.131174	-0.102882	0.102939
0.0638082	-0.0636893	-0.0601309	0.0602189
0.0259354	-0.0257601	-0.0308045	0.030894
0.0852393	-0.0851725	-0.0710668	0.0712093
0.100366	-0.10038	-0.0820082	0.0821936
0.0610245	-0.0605704	-0.0676128	0.0675388
0.0898198	-0.0893415	-0.075713	0.07561
0.0257866	-0.0256404	-0.0332689	0.0333575
0.0623093	-0.0621752	-0.0542378	0.054293
0.0500079	-0.0498705	-0.0496926	0.0497772
0.0171012	-0.0169461	-0.0234919	0.0235745
0.0580606	-0.0579282	-0.0556379	0.0557185
0.103565	-0.103586	-0.0835536	0.0837547
0.0526827	-0.0525609	-0.0461066	0.0461774
0.0628947	-0.062733	-0.0576878	0.0577773
0.0310126	-0.0310322	-0.0311534	0.0313065
0.0637275	-0.0631431	-0.0680691	0.0679816
0.0662695	-0.0660895	-0.0618524	0.061961
0.0400333	-0.0399275	-0.0362235	0.0362902
0.0296169	-0.0295336	-0.0258033	0.0258413
