EM	OR	IM	IB
0.0561851	-0.05608	-0.150618	0.15073
0.0437497	-0.0436408	-0.137797	0.137938
0.0943163	-0.0945047	-0.205603	0.206292
0.120885	-0.120844	-0.264461	0.264835
0.0225886	-0.022948	-0.101201	0.10239
0.0525282	-0.0523893	-0.155561	0.155697
0.0486483	-0.0487205	-0.138581	0.139046
0.0510595	-0.0509224	-0.144696	0.144849
0.0640297	-0.063951	-0.184164	0.184509
0.0121954	-0.0120828	-0.0876359	0.0877674
0.0953908	-0.0953975	-0.212372	0.212735
0.11188	-0.111771	-0.238015	0.238188
0.0933464	-0.0933475	-0.215282	0.215709
0.0969782	-0.096875	-0.210884	0.211045
0.0285609	-0.0284234	-0.13006	0.130216
0.063692	-0.0636015	-0.155131	0.155245
0.0364464	-0.0363919	-0.139842	0.140176
0.0318472	-0.0316933	-0.136795	0.137048
0.0957362	-0.0956164	-0.217872	0.218027
0.102155	-0.102174	-0.25124	0.251747
0.0791218	-0.0790676	-0.194982	0.195335
0.0767195	-0.076689	-0.185454	0.185768
0.0628207	-0.0621418	-0.168782	0.168823
0.0588051	-0.0587061	-0.144814	0.144962
0.0721927	-0.0721418	-0.17852	0.178791
0.0293588	-0.0293355	-0.117374	0.117784
0.0730418	-0.0720051	-0.191013	0.191127
0.0398797	-0.0398291	-0.133688	0.133927
0.10227	-0.102223	-0.228489	0.228791
0.128235	-0.128206	-0.266774	0.267111
0.0833951	-0.0832774	-0.195793	0.195961
0.0643908	-0.0642382	-0.183835	0.184024
0.0735928	-0.073473	-0.177723	0.177866
0.0113129	-0.0112549	-0.102344	0.102616
0.0588072	-0.0588628	-0.1607	0.16109
0.0727919	-0.0726893	-0.173864	0.174
0.0986372	-0.0986876	-0.20943	0.209825
0.0543882	-0.054274	-0.148414	0.148558
0.0850484	-0.0850044	-0.1987	0.198969
-0.0114366	0.0114355	-0.0687788	0.0691254
0.0759928	-0.0759344	-0.200725	0.201092
0.104012	-0.103942	-0.22205	0.222339
0.0386042	-0.038445	-0.153648	0.153816
0.074217	-0.0740741	-0.184439	0.184638
0.0409481	-0.0407873	-0.147574	0.14773
0.0517557	-0.0516188	-0.151453	0.151618
0.0359637	-0.0360525	-0.138939	0.139825
0.0719313	-0.0718263	-0.166268	0.166413
0.0563961	-0.0563614	-0.16855	0.16892
0.058283	-0.0576124	-0.156637	0.156682
0.0714203	-0.0712742	-0.196372	0.196538
0.05056	-0.0504978	-0.142214	0.142432
0.0513088	-0.0512941	-0.149534	0.149927
0.120168	-0.12013	-0.254064	0.254439
0.0489284	-0.048826	-0.146644	0.146766
0.0840873	-0.0840423	-0.191688	0.192004
0.0406713	-0.0406064	-0.112455	0.112585
0.0225955	-0.0226563	-0.124416	0.124927
0.0726076	-0.0728526	-0.176747	0.1775
0.0529673	-0.0525174	-0.134993	0.135083
0.0699377	-0.0698166	-0.174931	0.175123
0.0657532	-0.0656034	-0.187961	0.188174
0.0701214	-0.0700268	-0.160931	0.161097
0.0620809	-0.0620871	-0.149726	0.150051
0.0939222	-0.0938397	-0.197629	0.197776
0.0411304	-0.0408462	-0.141863	0.141916
0.00379341	-0.00388419	-0.0669765	0.0674476
0.0495781	-0.0495858	-0.167481	0.167925
0.0272905	-0.0271735	-0.117898	0.118031
0.0816296	-0.0814685	-0.205629	0.205863
0.0754289	-0.0752856	-0.200064	0.200277
0.0329096	-0.0327887	-0.12778	0.127897
0.0955213	-0.0950609	-0.211372	0.211519
0.0589185	-0.0588026	-0.155479	0.155628
0.0969407	-0.096909	-0.237789	0.238253
0.0734074	-0.0733208	-0.175089	0.175276
0.010053	-0.00985061	-0.0852113	0.0853532
0.0736941	-0.0739159	-0.153953	0.154919
0.00545425	-0.00533952	-0.0746864	0.0747723
0.0313224	-0.0312083	-0.120675	0.120806
0.118009	-0.118232	-0.238644	0.239397
0.058418	-0.0583113	-0.149214	0.149369
0.0674353	-0.067282	-0.172812	0.172976
0.120791	-0.120748	-0.245129	0.245394
0.109093	-0.109073	-0.220732	0.221053
0.0850667	-0.0845401	-0.227348	0.227485
0.0831205	-0.0825842	-0.190811	0.190863
0.0743773	-0.0743242	-0.180321	0.180627
0.0597287	-0.0596148	-0.151444	0.151543
0.0669738	-0.0669546	-0.17029	0.170613
0.00594384	-0.00581364	-0.0798712	0.0799918
0.0913243	-0.0912284	-0.209151	0.209301
0.0774978	-0.0775066	-0.176532	0.176861
0.0263366	-0.0262287	-0.101175	0.101282
0.0464791	-0.0463344	-0.147645	0.14781
0.0281644	-0.0281146	-0.108057	0.108316
0.0640801	-0.0634538	-0.188855	0.1889
0.0504694	-0.050318	-0.154731	0.154888
0.0381605	-0.0380629	-0.112488	0.112599
0.0197853	-0.0196854	-0.0874673	0.0875381
