EM	OR	IM	IB
-0.0149763	0.0150552	-0.0338865	0.0339828
-0.0491539	0.0492581	-0.020517	0.0206649
-0.0760879	0.0761531	0.00329187	-0.00315681
-0.0626969	0.0628033	-0.0268529	0.0270128
-0.172696	0.172678	0.0731175	-0.0725953
-0.123473	0.123838	0.0351023	-0.0351087
-0.108413	0.108503	0.0172405	-0.0171178
-0.0563502	0.0565657	-0.0130319	0.0130646
-0.0800927	0.0802286	-0.0138396	0.0140133
-0.107282	0.107498	0.0240037	-0.0239453
-0.0659758	0.0660565	-0.00764426	0.00775856
-0.0416651	0.0417589	-0.0326797	0.032831
-0.0875006	0.0876139	-0.00123283	0.00137928
-0.0790172	0.0791054	0.000147282	-2.04892e-05
-0.07581	0.0759203	-0.011133	0.011284
-0.0729421	0.07317	0.00740286	-0.00740486
-0.0397611	0.0398395	-0.0367011	0.0368458
-0.0881642	0.0883111	-0.00175358	0.00199863
-0.0546177	0.0548722	-0.0168718	0.0169093
-0.0711519	0.0712934	-0.0287793	0.0289761
-0.099518	0.0996563	0.00846329	-0.00830667
-0.0958103	0.0959281	0.0121628	-0.0119975
-0.0772878	0.0785296	-0.0072006	0.00692713
-0.0890397	0.0892219	0.0115102	-0.0114684
-0.0888679	0.0889658	0.00571802	-0.00560436
-0.150114	0.150229	0.0513644	-0.0511094
-0.0719322	0.0736692	-0.0114615	0.0111866
-0.123652	0.123792	0.0357712	-0.035642
-0.0411705	0.0412382	-0.0325558	0.0327034
-0.0592451	0.059348	-0.0208235	0.0209649
-0.0919958	0.0922889	0.0119648	-0.0119316
-0.100062	0.100185	0.00288382	-0.00271326
-0.0979085	0.0980506	0.0214381	-0.0213125
-0.140735	0.140877	0.0370581	-0.0369152
-0.0193812	0.0194681	-0.0429419	0.0430944
-0.0700552	0.0703302	-0.00514741	0.00511914
-0.0696451	0.0697259	-0.00512338	0.00522379
-0.0847762	0.0849963	0.000619996	-0.000565045
-0.104091	0.10424	0.0192708	-0.0191363
-0.120723	0.120819	0.0270783	-0.0269419
-0.109085	0.109214	0.00531624	-0.0051546
-0.0219838	0.0220444	-0.0493237	0.0494962
-0.132926	0.133079	0.0222319	-0.0220548
-0.0993968	0.099514	0.000676458	-0.000475197
-0.0713124	0.0719318	-0.0115869	0.0114786
-0.0713713	0.0714821	-0.0074096	0.00756161
-0.0665094	0.0666234	-0.0164206	0.016876
-0.0926103	0.0927069	0.0164872	-0.0163821
-0.0696631	0.069774	-0.00954759	0.00969203
-0.0959315	0.0959021	0.00887483	-0.00818035
-0.0527306	0.0528428	-0.0325412	0.0327021
-0.101112	0.101215	0.0126341	-0.0125024
-0.0631133	0.063198	-0.0114253	0.0116333
-0.0685928	0.0686982	-0.0226576	0.022839
-0.0712929	0.0713718	-0.00733511	0.00744863
-0.0769554	0.0770719	0.00380306	-0.00366081
-0.11051	0.110641	0.0301439	-0.0300749
-0.158746	0.158912	0.0453556	-0.0451846
-0.0739971	0.0740309	0.00426778	-0.00410503
-0.071283	0.0712224	0.00305998	-0.00242262
-0.0621279	0.0624466	-0.015322	0.0153551
-0.141423	0.141935	0.0263439	-0.0263838
-0.0974018	0.0974921	0.0144962	-0.0143709
-0.111732	0.111828	0.0304401	-0.0303301
-0.010863	0.0109045	-0.0446496	0.044779
-0.104092	0.104986	0.0111013	-0.0113706
-0.163945	0.164061	0.0684726	-0.0683775
-0.135314	0.135471	0.0280215	-0.0278793
-0.110031	0.110162	0.0177902	-0.0176073
-0.115346	0.115483	0.00960517	-0.00941403
-0.0946432	0.0947667	-0.00560233	0.00577965
-0.0835216	0.0836143	-0.000136428	0.000271839
-0.0856303	0.0856215	-0.00460251	0.00514539
-0.0790349	0.079257	-0.000217831	0.000277772
-0.0838084	0.0839174	-0.0182886	0.0184965
-0.119012	0.11921	0.0283336	-0.0282835
-0.124832	0.125255	0.0290688	-0.0290327
-0.0649454	0.064905	0.0109156	-0.0103912
-0.13839	0.138522	0.0507488	-0.0506529
-0.117957	0.118403	0.0222699	-0.0223177
-0.0458964	0.0459464	-0.0244544	0.0246593
-0.0803188	0.0803934	0.00396539	-0.00383279
-0.12628	0.126662	0.0371049	-0.0371117
-0.0353251	0.0354099	-0.0314466	0.03159
-0.04485	0.044945	-0.0140687	0.014188
-0.0684656	0.0685206	-0.0318828	0.0324892
-0.0960448	0.0972106	0.00946524	-0.00979699
-0.045038	0.0451371	-0.0251931	0.0253268
-0.0639295	0.0645334	-0.00625732	0.00607776
-0.0755141	0.0756239	-0.00512608	0.00528483
-0.137573	0.137706	0.0445845	-0.0444753
-0.0622017	0.0622843	-0.012715	0.0128646
-0.105577	0.105677	0.0238206	-0.0237015
-0.149956	0.150198	0.0576799	-0.0576521
-0.121614	0.121838	0.0268072	-0.0267314
-0.149918	0.150062	0.0595455	-0.0594458
-0.0969899	0.0982567	-0.0104451	0.0101673
-0.0999574	0.100102	0.0110257	-0.0108786
-0.111531	0.111924	0.0372715	-0.0373397
-0.111103	0.1112	0.0433229	-0.0432576
