EM	OR	IM	IB
-0.0163706	0.0165187	-0.0498311	0.0499055
-0.0490417	0.0491731	-0.0126279	0.0126706
-0.0297895	0.0299371	-0.0320749	0.0321168
-0.0577301	0.0578933	-0.0227049	0.0227642
-0.0266944	0.0272476	-0.0355413	0.0354586
-0.0573454	0.0574873	-0.00306294	0.00311234
-0.0151187	0.0152645	-0.057784	0.0578754
-0.0162757	0.0164202	-0.0552152	0.055291
-0.0611623	0.0613609	-0.0204888	0.0205512
-0.0538382	0.0539489	0.00103956	-0.00102295
-0.036539	0.0366559	-0.0298203	0.0298658
-0.0370019	0.0371548	-0.0380483	0.0381189
-0.0312982	0.0314359	-0.0450557	0.0451374
-0.0331383	0.0332612	-0.0307433	0.0308075
-0.0556004	0.0557704	-0.0209606	0.0210207
-0.0204216	0.0205398	-0.0381288	0.0381845
-0.0311662	0.0313304	-0.0495166	0.049615
-0.0397101	0.0399446	-0.0403148	0.0404128
-0.0305575	0.030713	-0.0402125	0.0402983
-0.0631941	0.0633765	-0.0319955	0.0320763
-0.0375459	0.0376968	-0.0424311	0.0424977
-0.0114637	0.0115857	-0.0637627	0.0638573
-0.0219329	0.0226184	-0.0578144	0.0577557
-0.0334648	0.0335812	-0.0211173	0.021175
-0.02277	0.0228386	-0.0497086	0.0499116
-0.0307833	0.0310469	-0.0357014	0.0357603
0.0016994	-0.000374431	-0.0986368	0.0984818
-0.0112492	0.0113031	-0.0636692	0.0638536
-0.0269714	0.0270868	-0.0556716	0.0558719
-0.036201	0.0363386	-0.0450281	0.045096
-0.0167272	0.0168636	-0.0588818	0.05896
-0.0624651	0.0626591	-0.0143613	0.0144252
0.000873555	-0.000758537	-0.075466	0.0755497
-0.0670362	0.0671882	-0.000996984	0.00104369
-0.0481632	0.0483193	-0.0195648	0.0196136
-0.0397785	0.0399167	-0.0239186	0.0239829
-0.0307995	0.0309363	-0.0302478	0.0303242
-0.0410638	0.041232	-0.0265412	0.0266159
-0.0250083	0.0250618	-0.0449845	0.0451842
-0.044591	0.0447671	-0.0251877	0.0252483
-0.0264747	0.0265638	-0.0676485	0.0679076
-0.0486602	0.048817	-0.0185421	0.0186151
-0.0582884	0.0584726	-0.0266286	0.0266944
-0.0704448	0.0706372	6.558e-05	-1.52781e-05
-0.0434596	0.0436208	-0.032285	0.0323388
-0.0248778	0.0250107	-0.0497818	0.0498463
-0.0454885	0.0460577	-0.0293265	0.0292842
-0.027973	0.0280968	-0.0302912	0.0303473
-0.0309925	0.0311477	-0.049203	0.0492748
-0.0354265	0.0361293	-0.0333933	0.0333248
-0.0431966	0.0433675	-0.0426382	0.0427189
-0.0242483	0.0243771	-0.0460956	0.0461697
-0.0379856	0.0380891	-0.0269544	0.0271111
-0.0275779	0.0277814	-0.0609975	0.0611064
-0.037332	0.0374776	-0.0329184	0.0329761
-0.0142025	0.0142818	-0.0589413	0.0591515
-0.0151131	0.0152125	-0.0425718	0.0426416
-0.0710763	0.0712281	0.00124576	-0.0011915
-0.0293288	0.0295057	-0.0324889	0.0325064
-0.0267231	0.027382	-0.0298536	0.0297468
-0.0301925	0.0303348	-0.0450428	0.0451296
-0.0529709	0.0531398	-0.0358681	0.0359393
-0.00132389	0.00146807	-0.0674359	0.0675533
-0.0363952	0.0365054	-0.0110466	0.0111125
-0.033299	0.0334194	-0.0212026	0.0212678
-0.0446389	0.0449311	-0.0247708	0.0247681
-0.04094	0.0410527	-0.00766929	0.00771606
-0.0662934	0.0664567	-0.0124003	0.0124595
-0.0361964	0.0363468	-0.0364504	0.0365137
-0.0318574	0.0320678	-0.0578946	0.0580079
-0.0403165	0.0405107	-0.0487951	0.0488952
-0.00520766	0.00535953	-0.0792384	0.0793307
-0.0329692	0.0335191	-0.0458531	0.0458433
-0.0477218	0.0478497	-0.0113812	0.0114268
-0.0267881	0.0270035	-0.0765578	0.0766828
-0.0444428	0.0445983	-0.0160044	0.0160869
-0.050474	0.0506931	-0.0104155	0.0104771
0.0198887	-0.0193492	-0.0761306	0.0760912
-0.0446192	0.0447475	-0.00606202	0.00610828
-0.0424796	0.0426205	-0.0286102	0.0286546
-0.00842869	0.00862322	-0.0682478	0.0683006
-0.030655	0.0307856	-0.0298197	0.029884
-0.0327636	0.0329293	-0.0320403	0.0321205
-0.00524119	0.00533442	-0.0743207	0.0745068
0.0157017	-0.0155984	-0.0905904	0.0906537
-0.0835967	0.0841506	-0.00496003	0.00489657
-0.0141456	0.0146999	-0.0586841	0.0586478
-0.0442267	0.0443509	-0.0168864	0.0169636
-0.0368947	0.0370319	-0.019933	0.0199816
-0.0301635	0.03031	-0.041488	0.0415553
-0.0342748	0.0344199	-0.0330179	0.0330818
-0.038992	0.0391862	-0.0347424	0.034806
0.0243161	-0.0242874	-0.107149	0.107435
-0.0155068	0.0156189	-0.0466383	0.0466911
-0.0408556	0.0410131	-0.0320382	0.0320899
-0.041683	0.0418062	-0.0107159	0.0107539
-0.0434008	0.0440587	-0.0476769	0.0476352
-0.0465155	0.0466961	-0.0263015	0.0263631
-0.0240431	0.0241466	-0.0305116	0.0305379
-0.00291166	0.00300611	-0.0573221	0.0573598
